,회사명,거래소코드,회계년도,영업손익,당기순이익,매출액
0,(주)CMG제약,58820,2011/12,640283.0,-1508282.0,17751704.0
1,(주)CMG제약,58820,2012/12,-4205503.0,-6660149.0,16255389.0
2,(주)CMG제약,58820,2013/12,791250.0,296181.0,20402140.0
3,(주)CMG제약,58820,2014/12,442322.0,158039.0,22752584.0
4,(주)CMG제약,58820,2015/12,-2572168.0,-3650091.0,27041894.0
5,(주)CMG제약,58820,2016/12,1730753.0,1727895.0,32969825.0
6,(주)CMG제약,58820,2017/12,1558607.0,2834901.0,41535588.0
7,(주)CMG제약,58820,2018/12,2567820.0,6065026.0,49864782.0
8,(주)CMG제약,58820,2019/12,2603774.0,3051177.0,58622681.0
9,(주)CMG제약,58820,2020/12,1822365.0,214996.0,64459891.0
10,(주)DB하이텍,990,2011/12,-43150444.0,-97946584.0,552216245.0
11,(주)DB하이텍,990,2012/12,-15621631.0,-31341318.0,590786488.0
12,(주)DB하이텍,990,2013/12,-9610612.0,-83046768.0,493752028.0
13,(주)DB하이텍,990,2014/12,45560248.0,-77008844.0,567718224.0
14,(주)DB하이텍,990,2015/12,124968815.0,126733352.0,666594987.0
15,(주)DB하이텍,990,2016/12,172427930.0,88344018.0,773140180.0
16,(주)DB하이텍,990,2017/12,143195168.0,110175089.0,679737744.0
17,(주)DB하이텍,990,2018/12,112993143.0,86828768.0,669279136.0
18,(주)DB하이텍,990,2019/12,181292188.0,104637012.0,807416423.0
19,(주)DB하이텍,990,2020/12,239335181.0,166025591.0,935919766.0
20,(주)ES큐브,50120,2011/12,-3650245.0,-4796438.0,53379952.0
21,(주)ES큐브,50120,2012/12,89337.0,-359216.0,55971147.0
22,(주)ES큐브,50120,2013/12,-1164611.0,-16455910.0,58597361.0
23,(주)ES큐브,50120,2014/12,171090.0,-615409.0,44459581.0
24,(주)ES큐브,50120,2015/12,-4060426.0,-2307159.0,42152967.0
25,(주)ES큐브,50120,2016/12,2161041.0,21541047.0,34289385.0
26,(주)ES큐브,50120,2017/12,2248520.0,1737925.0,35745794.0
27,(주)ES큐브,50120,2018/12,-1211129.0,-6121462.0,33763508.0
28,(주)ES큐브,50120,2019/12,-2617071.0,-13767748.0,43708239.0
29,(주)ES큐브,50120,2020/12,10315988.0,-25292140.0,80672425.0
30,(주)HJ중공업,97230,2011/12,107974000.0,-96920000.0,2891499000.0
31,(주)HJ중공업,97230,2012/12,52914000.0,-53214000.0,2549319000.0
32,(주)HJ중공업,97230,2013/12,-69574000.0,-190193000.0,2529341000.0
33,(주)HJ중공업,97230,2014/12,-144988000.0,-299811000.0,2520325000.0
34,(주)HJ중공업,97230,2015/12,-79370000.0,-260925000.0,3115473000.0
35,(주)HJ중공업,97230,2016/12,-79319000.0,-334446000.0,2813271000.0
36,(주)HJ중공업,97230,2017/12,-116693000.0,-277978000.0,2452314000.0
37,(주)HJ중공업,97230,2018/12,61676000.0,-1283647000.0,1697869000.0
38,(주)HJ중공업,97230,2019/12,83839000.0,306169000.0,1628751000.0
39,(주)HJ중공업,97230,2020/12,51629000.0,78346000.0,1695815000.0
40,(주)MH에탄올,23150,2011/12,603258.0,-4357312.0,44785159.0
41,(주)MH에탄올,23150,2012/12,5451733.0,287369.0,59768175.0
42,(주)MH에탄올,23150,2013/12,3009741.0,7028234.0,62199887.0
43,(주)MH에탄올,23150,2014/12,8744851.0,-203193.0,48983781.0
44,(주)MH에탄올,23150,2015/12,11092013.0,7778593.0,50386203.0
45,(주)MH에탄올,23150,2016/12,11874476.0,8144684.0,48897025.0
46,(주)MH에탄올,23150,2017/12,8116711.0,4308068.0,51977132.0
47,(주)MH에탄올,23150,2018/12,1228204.0,-12033428.0,72795863.0
48,(주)MH에탄올,23150,2019/12,7829103.0,-7552043.0,80879342.0
49,(주)MH에탄올,23150,2020/12,15781923.0,3802823.0,94645239.0
50,(주)SH에너지화학,2360,2011/12,4165988.0,1800972.0,173209351.0
51,(주)SH에너지화학,2360,2012/12,2183184.0,210854.0,193950102.0
52,(주)SH에너지화학,2360,2013/12,6424227.0,4606872.0,231912218.0
53,(주)SH에너지화학,2360,2014/12,21271907.0,16733050.0,230912587.0
