회사명,거래소코드,회계년도,상장일,상장폐지일,자산,자본,영업손익,당기순이익,매출액
(주)CMG제약,58820,2011/12,2001/08/31,,27305198.0,18034249.0,640283.0,-1508282.0,17751704.0
(주)CMG제약,58820,2012/12,2001/08/31,,57108035.0,31590685.0,-4205503.0,-6660149.0,16255389.0
(주)CMG제약,58820,2013/12,2001/08/31,,55912563.0,48997281.0,791250.0,296181.0,20402140.0
(주)CMG제약,58820,2014/12,2001/08/31,,58068326.0,49002644.0,442322.0,158039.0,22752584.0
(주)CMG제약,58820,2015/12,2001/08/31,,56532821.0,46806888.0,-2572168.0,-3650091.0,27041894.0
(주)CMG제약,58820,2016/12,2001/08/31,,110979867.0,101107635.0,1730753.0,1727895.0,32969825.0
(주)CMG제약,58820,2017/12,2001/08/31,,109568153.0,97944019.0,1558607.0,2834901.0,41535588.0
(주)CMG제약,58820,2018/12,2001/08/31,,114379880.0,103981846.0,2567820.0,6065026.0,49864782.0
(주)CMG제약,58820,2019/12,2001/08/31,,192243166.0,180158283.0,2603774.0,3051177.0,58622681.0
(주)CMG제약,58820,2020/12,2001/08/31,,195355583.0,181131004.0,1822365.0,214996.0,64459891.0
(주)DB하이텍,990,2011/12,1975/12/12,,1199043869.0,308061688.0,-43150444.0,-97946584.0,552216245.0
(주)DB하이텍,990,2012/12,1975/12/12,,1157755031.0,290893335.0,-15621631.0,-31341318.0,590786488.0
(주)DB하이텍,990,2013/12,1975/12/12,,1058391832.0,204756748.0,-9610612.0,-83046768.0,493752028.0
(주)DB하이텍,990,2014/12,1975/12/12,,984876636.0,120702734.0,45560248.0,-77008844.0,567718224.0
(주)DB하이텍,990,2015/12,1975/12/12,,984643712.0,254057491.0,124968815.0,126733352.0,666594987.0
(주)DB하이텍,990,2016/12,1975/12/12,,986788572.0,341917315.0,172427930.0,88344018.0,773140180.0
(주)DB하이텍,990,2017/12,1975/12/12,,993950720.0,455797946.0,143195168.0,110175089.0,679737744.0
(주)DB하이텍,990,2018/12,1975/12/12,,1066533840.0,558391531.0,112993143.0,86828768.0,669279136.0
(주)DB하이텍,990,2019/12,1975/12/12,,1088889810.0,644650730.0,181292188.0,104637012.0,807416423.0
(주)DB하이텍,990,2020/12,1975/12/12,,1178581197.0,794584513.0,239335181.0,166025591.0,935919766.0
(주)ES큐브,50120,2011/12,2002/04/25,,55477032.0,39245830.0,-3650245.0,-4796438.0,53379952.0
(주)ES큐브,50120,2012/12,2002/04/25,,46281660.0,39859681.0,89337.0,-359216.0,55971147.0
(주)ES큐브,50120,2013/12,2002/04/25,,47137573.0,42372440.0,-1164611.0,-16455910.0,58597361.0
(주)ES큐브,50120,2014/12,2002/04/25,,56611836.0,49628091.0,171090.0,-615409.0,44459581.0
(주)ES큐브,50120,2015/12,2002/04/25,,55620280.0,49654460.0,-4060426.0,-2307159.0,42152967.0
(주)ES큐브,50120,2016/12,2002/04/25,,105164626.0,71696122.0,2161041.0,21541047.0,34289385.0
(주)ES큐브,50120,2017/12,2002/04/25,,105892131.0,72816880.0,2248520.0,1737925.0,35745794.0
(주)ES큐브,50120,2018/12,2002/04/25,,112430896.0,70748607.0,-1211129.0,-6121462.0,33763508.0
(주)ES큐브,50120,2019/12,2002/04/25,,463958680.0,74038512.0,-2617071.0,-13767748.0,43708239.0
(주)ES큐브,50120,2020/12,2002/04/25,,714889745.0,69497819.0,10315988.0,-25292140.0,80672425.0
(주)HJ중공업,97230,2011/12,2007/08/31,,7036680000.0,1866848000.0,107974000.0,-96920000.0,2891499000.0
(주)HJ중공업,97230,2012/12,2007/08/31,,6585093000.0,1715516000.0,52914000.0,-53214000.0,2549319000.0
(주)HJ중공업,97230,2013/12,2007/08/31,,6683379000.0,1638998000.0,-69574000.0,-190193000.0,2529341000.0
(주)HJ중공업,97230,2014/12,2007/08/31,,6470284000.0,1573076000.0,-144988000.0,-299811000.0,2520325000.0
(주)HJ중공업,97230,2015/12,2007/08/31,,5914637000.0,1368589000.0,-79370000.0,-260925000.0,3115473000.0
(주)HJ중공업,97230,2016/12,2007/08/31,,5256464000.0,895183000.0,-79319000.0,-334446000.0,2813271000.0
(주)HJ중공업,97230,2017/12,2007/08/31,,4206655000.0,577198000.0,-116693000.0,-277978000.0,2452314000.0
(주)HJ중공업,97230,2018/12,2007/08/31,,2733620000.0,-708186000.0,61676000.0,-1283647000.0,1697869000.0
(주)HJ중공업,97230,2019/12,2007/08/31,,2470222000.0,244994000.0,83839000.0,306169000.0,1628751000.0
(주)HJ중공업,97230,2020/12,2007/08/31,,2193855000.0,320003000.0,51629000.0,78346000.0,1695815000.0
(주)MH에탄올,23150,2011/12,1996/12/24,,134206851.0,42667338.0,603258.0,-4357312.0,44785159.0
(주)MH에탄올,23150,2012/12,1996/12/24,,134385813.0,39678259.0,5451733.0,287369.0,59768175.0
(주)MH에탄올,23150,2013/12,1996/12/24,,129697936.0,45885523.0,3009741.0,7028234.0,62199887.0
(주)MH에탄올,23150,2014/12,1996/12/24,,85534839.0,52788681.0,8744851.0,-203193.0,48983781.0
(주)MH에탄올,23150,2015/12,1996/12/24,,78996052.0,57884347.0,11092013.0,7778593.0,50386203.0
(주)MH에탄올,23150,2016/12,1996/12/24,,72339673.0,63581883.0,11874476.0,8144684.0,48897025.0
(주)MH에탄올,23150,2017/12,1996/12/24,,500180086.0,106837344.0,8116711.0,4308068.0,51977132.0
(주)MH에탄올,23150,2018/12,1996/12/24,,440177523.0,91585473.0,1228204.0,-12033428.0,72795863.0
(주)MH에탄올,23150,2019/12,1996/12/24,,451474451.0,79389077.0,7829103.0,-7552043.0,80879342.0
(주)MH에탄올,23150,2020/12,1996/12/24,,449679366.0,80425495.0,15781923.0,3802823.0,94645239.0
(주)SH에너지화학,2360,2011/12,1985/12/23,,104710740.0,65242326.0,4165988.0,1800972.0,173209351.0
(주)SH에너지화학,2360,2012/12,1985/12/23,,103690070.0,64881202.0,2183184.0,210854.0,193950102.0
(주)SH에너지화학,2360,2013/12,1985/12/23,,110488951.0,69599141.0,6424227.0,4606872.0,231912218.0
(주)SH에너지화학,2360,2014/12,1985/12/23,,110741407.0,84237197.0,21271907.0,16733050.0,230912587.0
(주)SH에너지화학,2360,2015/12,1985/12/23,,115520726.0,91646221.0,22950175.0,12590617.0,216441364.0
(주)SH에너지화학,2360,2016/12,1985/12/23,,124488724.0,104088887.0,24101160.0,18028878.0,218397677.0
(주)SH에너지화학,2360,2017/12,1985/12/23,,125312154.0,107693472.0,14181936.0,9879057.0,188114822.0
(주)SH에너지화학,2360,2018/12,1985/12/23,,122434685.0,105390892.0,2100669.0,2033570.0,183598766.0
(주)SH에너지화학,2360,2019/12,1985/12/23,,123415832.0,98999976.0,-3131128.0,-3090151.0,140852575.0
(주)SH에너지화학,2360,2020/12,1985/12/23,,117356594.0,90008391.0,-7851791.0,-6945600.0,93584262.0
(주)SIMPAC,9160,2011/12,1989/07/29,,310879328.0,168941269.0,27346333.0,24976613.0,215365697.0
(주)SIMPAC,9160,2012/12,1989/07/29,,318665505.0,187860952.0,25191277.0,19285856.0,225353321.0
(주)SIMPAC,9160,2013/12,1989/07/29,,361985890.0,208831047.0,23599349.0,20043596.0,205751154.0
