회사명,거래소코드,회계년도,자산,자본
(주)CMG제약,58820,2011/12,27305198.0,18034249.0
(주)CMG제약,58820,2012/12,57108035.0,31590685.0
(주)CMG제약,58820,2013/12,55912563.0,48997281.0
(주)CMG제약,58820,2014/12,58068326.0,49002644.0
(주)CMG제약,58820,2015/12,56532821.0,46806888.0
(주)CMG제약,58820,2016/12,110979867.0,101107635.0
(주)CMG제약,58820,2017/12,109568153.0,97944019.0
(주)CMG제약,58820,2018/12,114379880.0,103981846.0
(주)CMG제약,58820,2019/12,192243166.0,180158283.0
(주)CMG제약,58820,2020/12,195355583.0,181131004.0
(주)DB하이텍,990,2011/12,1199043869.0,308061688.0
(주)DB하이텍,990,2012/12,1157755031.0,290893335.0
(주)DB하이텍,990,2013/12,1058391832.0,204756748.0
(주)DB하이텍,990,2014/12,984876636.0,120702734.0
(주)DB하이텍,990,2015/12,984643712.0,254057491.0
(주)DB하이텍,990,2016/12,986788572.0,341917315.0
(주)DB하이텍,990,2017/12,993950720.0,455797946.0
(주)DB하이텍,990,2018/12,1066533840.0,558391531.0
(주)DB하이텍,990,2019/12,1088889810.0,644650730.0
(주)DB하이텍,990,2020/12,1178581197.0,794584513.0
(주)ES큐브,50120,2011/12,55477032.0,39245830.0
(주)ES큐브,50120,2012/12,46281660.0,39859681.0
(주)ES큐브,50120,2013/12,47137573.0,42372440.0
(주)ES큐브,50120,2014/12,56611836.0,49628091.0
(주)ES큐브,50120,2015/12,55620280.0,49654460.0
(주)ES큐브,50120,2016/12,105164626.0,71696122.0
(주)ES큐브,50120,2017/12,105892131.0,72816880.0
(주)ES큐브,50120,2018/12,112430896.0,70748607.0
(주)ES큐브,50120,2019/12,463958680.0,74038512.0
(주)ES큐브,50120,2020/12,714889745.0,69497819.0
(주)HJ중공업,97230,2011/12,7036680000.0,1866848000.0
(주)HJ중공업,97230,2012/12,6585093000.0,1715516000.0
(주)HJ중공업,97230,2013/12,6683379000.0,1638998000.0
(주)HJ중공업,97230,2014/12,6470284000.0,1573076000.0
(주)HJ중공업,97230,2015/12,5914637000.0,1368589000.0
(주)HJ중공업,97230,2016/12,5256464000.0,895183000.0
(주)HJ중공업,97230,2017/12,4206655000.0,577198000.0
(주)HJ중공업,97230,2018/12,2733620000.0,-708186000.0
(주)HJ중공업,97230,2019/12,2470222000.0,244994000.0
(주)HJ중공업,97230,2020/12,2193855000.0,320003000.0
(주)MH에탄올,23150,2011/12,134206851.0,42667338.0
(주)MH에탄올,23150,2012/12,134385813.0,39678259.0
(주)MH에탄올,23150,2013/12,129697936.0,45885523.0
(주)MH에탄올,23150,2014/12,85534839.0,52788681.0
(주)MH에탄올,23150,2015/12,78996052.0,57884347.0
(주)MH에탄올,23150,2016/12,72339673.0,63581883.0
(주)MH에탄올,23150,2017/12,500180086.0,106837344.0
(주)MH에탄올,23150,2018/12,440177523.0,91585473.0
(주)MH에탄올,23150,2019/12,451474451.0,79389077.0
(주)MH에탄올,23150,2020/12,449679366.0,80425495.0
(주)SH에너지화학,2360,2011/12,104710740.0,65242326.0
(주)SH에너지화학,2360,2012/12,103690070.0,64881202.0
(주)SH에너지화학,2360,2013/12,110488951.0,69599141.0
(주)SH에너지화학,2360,2014/12,110741407.0,84237197.0
(주)SH에너지화학,2360,2015/12,115520726.0,91646221.0
(주)SH에너지화학,2360,2016/12,124488724.0,104088887.0
(주)SH에너지화학,2360,2017/12,125312154.0,107693472.0
(주)SH에너지화학,2360,2018/12,122434685.0,105390892.0
(주)SH에너지화학,2360,2019/12,123415832.0,98999976.0
(주)SH에너지화학,2360,2020/12,117356594.0,90008391.0
(주)SIMPAC,9160,2011/12,310879328.0,168941269.0
(주)SIMPAC,9160,2012/12,318665505.0,187860952.0
(주)SIMPAC,9160,2013/12,361985890.0,208831047.0
(주)SIMPAC,9160,2014/12,381939281.0,219125252.0
(주)SIMPAC,9160,2015/12,422833445.0,232007841.0
(주)SIMPAC,9160,2016/12,417865468.0,240416530.0
(주)SIMPAC,9160,2017/12,381158251.0,240826100.0
(주)SIMPAC,9160,2018/12,681750819.0,435032869.0
(주)SIMPAC,9160,2019/12,679145850.0,441195485.0
(주)SIMPAC,9160,2020/12,737277692.0,463986165.0
(주)SNT에너지,100840,2011/12,276511841.0,160595865.0
(주)SNT에너지,100840,2012/12,292802033.0,183306309.0
(주)SNT에너지,100840,2013/12,311675279.0,198164671.0
(주)SNT에너지,100840,2014/12,304511816.0,207712504.0
(주)SNT에너지,100840,2015/12,316196096.0,231399939.0
(주)SNT에너지,100840,2016/12,348042346.0,229799567.0
(주)SNT에너지,100840,2017/12,300266693.0,233817326.0
(주)SNT에너지,100840,2018/12,280991534.0,231276490.0
(주)SNT에너지,100840,2019/12,333897235.0,244954910.0
(주)SNT에너지,100840,2020/12,335351657.0,235772710.0
(주)SNT홀딩스,36530,2011/12,2124828265.0,1311007481.0
(주)SNT홀딩스,36530,2012/12,2074903906.0,1318022867.0
(주)SNT홀딩스,36530,2013/12,2149176237.0,1374365240.0
(주)SNT홀딩스,36530,2014/12,2039388864.0,1356040938.0
(주)SNT홀딩스,36530,2015/12,2169311305.0,1529249091.0
(주)SNT홀딩스,36530,2016/12,2210178425.0,1530892611.0
(주)SNT홀딩스,36530,2017/12,2146174938.0,1519293154.0
(주)SNT홀딩스,36530,2018/12,2113834573.0,1503275496.0
(주)SNT홀딩스,36530,2019/12,2236679025.0,1625933047.0
(주)SNT홀딩스,36530,2020/12,2270485740.0,1617529065.0
(주)STX,11810,2011/12,5234175000.0,1915942000.0
(주)STX,11810,2012/12,5067029000.0,1506639000.0
(주)STX,11810,2013/12,1342520000.0,-509663000.0
(주)STX,11810,2014/12,1255002000.0,93662000.0
(주)STX,11810,2015/12,1267224000.0,72342000.0
(주)STX,11810,2016/12,707709000.0,-330596000.0
(주)STX,11810,2017/12,627542000.0,42560000.0
(주)STX,11810,2018/12,554061000.0,64028000.0
(주)STX,11810,2019/12,560107000.0,56291000.0
(주)STX,11810,2020/12,617563000.0,81729000.0
(주)TCC스틸,2710,2011/12,454329510.0,225441968.0
(주)TCC스틸,2710,2012/12,547013976.0,225998781.0
(주)TCC스틸,2710,2013/12,543708595.0,205738102.0
(주)TCC스틸,2710,2014/12,551000563.0,189038004.0
(주)TCC스틸,2710,2015/12,376394571.0,86012476.0
(주)TCC스틸,2710,2016/12,282914735.0,103337634.0
(주)TCC스틸,2710,2017/12,278692540.0,100915803.0
(주)TCC스틸,2710,2018/12,304781579.0,112246210.0
(주)TCC스틸,2710,2019/12,314210087.0,116843135.0
(주)TCC스틸,2710,2020/12,306758932.0,121130879.0
(주)가비아,79940,2011/12,64954440.0,48665742.0
(주)가비아,79940,2012/12,85244515.0,58945247.0
(주)가비아,79940,2013/12,91231294.0,68600227.0
(주)가비아,79940,2014/12,98544072.0,75509702.0
(주)가비아,79940,2015/12,105081568.0,84096148.0
(주)가비아,79940,2016/12,125796754.0,95951841.0
(주)가비아,79940,2017/12,133382584.0,99896520.0
(주)가비아,79940,2018/12,151440505.0,114187490.0
(주)가비아,79940,2019/12,199916131.0,134959139.0
(주)가비아,79940,2020/12,260025259.0,173203629.0
(주)가온칩스,399720,2018/12,,
(주)가온칩스,399720,2019/12,,
(주)가온칩스,399720,2020/12,25531855.0,10874663.0
(주)강스템바이오텍,217730,2013/12,,
(주)강스템바이오텍,217730,2014/12,,
(주)강스템바이오텍,217730,2015/12,24982626.0,21237036.0
(주)강스템바이오텍,217730,2016/12,47441769.0,22976911.0
(주)강스템바이오텍,217730,2017/12,47198979.0,24482163.0
(주)강스템바이오텍,217730,2018/12,73194018.0,47581374.0
(주)강스템바이오텍,217730,2019/12,113643697.0,68719236.0
(주)강스템바이오텍,217730,2020/12,82505287.0,48638871.0
(주)강원랜드,35250,2011/12,2711401782.0,2257362696.0
(주)강원랜드,35250,2012/12,2906655321.0,2372026990.0
(주)강원랜드,35250,2013/12,3102036846.0,2517696496.0
(주)강원랜드,35250,2014/12,3375127289.0,2705357485.0
(주)강원랜드,35250,2015/12,3690791830.0,2997755205.0
(주)강원랜드,35250,2016/12,3978987574.0,3252727459.0
(주)강원랜드,35250,2017/12,4185657487.0,3501235933.0
(주)강원랜드,35250,2018/12,4231241354.0,3586777089.0
(주)강원랜드,35250,2019/12,4438119306.0,3717759076.0
(주)강원랜드,35250,2020/12,3641632201.0,3247028580.0
(주)강원에너지,114190,2011/11,53719067.0,24502434.0
(주)강원에너지,114190,2012/12,89258208.0,36107930.0
(주)강원에너지,114190,2013/12,72441333.0,45877155.0
(주)강원에너지,114190,2014/12,67037639.0,50445491.0
(주)강원에너지,114190,2015/12,85457457.0,56583901.0
(주)강원에너지,114190,2016/12,77186606.0,55088690.0
(주)강원에너지,114190,2017/12,93179394.0,48303010.0
(주)강원에너지,114190,2018/12,93845576.0,50203707.0
(주)강원에너지,114190,2019/12,56602063.0,21124556.0
(주)강원에너지,114190,2020/12,32968636.0,17096338.0
(주)갤럭시아에스엠,11420,2011/12,45110356.0,25274017.0
(주)갤럭시아에스엠,11420,2012/12,43979072.0,25907252.0
(주)갤럭시아에스엠,11420,2013/12,37636664.0,21493102.0
(주)갤럭시아에스엠,11420,2014/12,45274078.0,23205508.0
(주)갤럭시아에스엠,11420,2015/12,68686992.0,49739042.0
(주)갤럭시아에스엠,11420,2016/12,58444606.0,44846832.0
(주)갤럭시아에스엠,11420,2017/12,49831109.0,40494336.0
(주)갤럭시아에스엠,11420,2018/12,33253331.0,26472162.0
(주)갤럭시아에스엠,11420,2019/12,28241598.0,21798750.0
(주)갤럭시아에스엠,11420,2020/12,28554685.0,20719428.0
(주)경농,2100,2011/12,173774102.0,142986220.0
(주)경농,2100,2012/12,269412832.0,151738994.0
(주)경농,2100,2013/12,255984725.0,163157512.0
(주)경농,2100,2014/12,284623063.0,168915900.0
(주)경농,2100,2015/12,316341853.0,174667648.0
(주)경농,2100,2016/12,320915151.0,183969132.0
(주)경농,2100,2017/12,335873898.0,192152986.0
(주)경농,2100,2018/12,357260541.0,201453891.0
(주)경농,2100,2019/12,370874091.0,201885272.0
(주)경농,2100,2020/12,371525656.0,211372233.0
(주)경동나비엔,9450,2011/12,263211016.0,168114574.0
(주)경동나비엔,9450,2012/12,299729837.0,175875394.0
(주)경동나비엔,9450,2013/12,354779867.0,187280988.0
(주)경동나비엔,9450,2014/12,401658957.0,190021880.0
(주)경동나비엔,9450,2015/12,402084368.0,206076609.0
(주)경동나비엔,9450,2016/12,429754702.0,238762190.0
(주)경동나비엔,9450,2017/12,503697210.0,256506497.0
(주)경동나비엔,9450,2018/12,583595818.0,280103616.0
(주)경동나비엔,9450,2019/12,609808343.0,301042624.0
(주)경동나비엔,9450,2020/12,734688738.0,348163846.0
(주)경동도시가스,267290,2017/12,710280194.0,294331882.0
(주)경동도시가스,267290,2018/12,778269612.0,320490074.0
(주)경동도시가스,267290,2019/12,749999474.0,339612043.0
(주)경동도시가스,267290,2020/12,699658165.0,356677691.0
(주)경동인베스트,12320,2011/12,1001490869.0,407862543.0
(주)경동인베스트,12320,2012/12,1209924561.0,446509347.0
(주)경동인베스트,12320,2013/12,1205008353.0,498740561.0
(주)경동인베스트,12320,2014/12,1320789066.0,607451423.0
(주)경동인베스트,12320,2015/12,1167819522.0,576479441.0
(주)경동인베스트,12320,2016/12,1126122628.0,587924566.0
(주)경동인베스트,12320,2017/12,599276331.0,400403090.0
(주)경동인베스트,12320,2018/12,592002536.0,397867310.0
(주)경동인베스트,12320,2019/12,605467383.0,414533638.0
(주)경동인베스트,12320,2020/12,589277835.0,430745334.0
(주)경방,50,2011/12,1352324332.0,629704391.0
(주)경방,50,2012/12,1335039930.0,620704205.0
(주)경방,50,2013/12,1296989142.0,636438555.0
(주)경방,50,2014/12,1301841379.0,647668814.0
(주)경방,50,2015/12,1318643312.0,662952918.0
(주)경방,50,2016/12,1301910960.0,679843399.0
(주)경방,50,2017/12,1274042237.0,699134073.0
(주)경방,50,2018/12,1301792841.0,708769347.0
(주)경방,50,2019/12,1370742491.0,741553199.0
(주)경방,50,2020/12,1264902051.0,741929808.0
(주)경보제약,214390,2011/12,,
(주)경보제약,214390,2012/12,,
(주)경보제약,214390,2013/12,143382795.0,66218806.0
(주)경보제약,214390,2014/12,168034561.0,68329856.0
(주)경보제약,214390,2015/12,195488457.0,122817151.0
(주)경보제약,214390,2016/12,203735980.0,129402340.0
(주)경보제약,214390,2017/12,204869399.0,141509596.0
(주)경보제약,214390,2018/12,221622993.0,149012165.0
(주)경보제약,214390,2019/12,237816742.0,149163504.0
(주)경보제약,214390,2020/12,253239177.0,156056794.0
(주)경인양행,12610,2011/12,319596954.0,176292506.0
(주)경인양행,12610,2012/12,287452678.0,174988685.0
(주)경인양행,12610,2013/12,316944796.0,189744314.0
(주)경인양행,12610,2014/12,313039125.0,198238667.0
(주)경인양행,12610,2015/12,326687437.0,201125304.0
(주)경인양행,12610,2016/12,344298515.0,208293196.0
(주)경인양행,12610,2017/12,357951470.0,210934933.0
(주)경인양행,12610,2018/12,412996589.0,223759383.0
(주)경인양행,12610,2019/12,472081003.0,237433141.0
(주)경인양행,12610,2020/12,505102151.0,228381756.0
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,115881620.0,77394108.0
(주)고려시멘트,198440,2018/12,127536833.0,86510962.0
(주)고려시멘트,198440,2019/12,127035573.0,88445378.0
(주)고려시멘트,198440,2020/12,115337527.0,92362134.0
(주)고바이오랩,348150,2019/12,35321574.0,-53623865.0
(주)고바이오랩,348150,2020/12,58537097.0,55390674.0
(주)고영테크놀러지,98460,2011/12,87006201.0,69622726.0
(주)고영테크놀러지,98460,2012/12,103351965.0,83401095.0
(주)고영테크놀러지,98460,2013/12,120951617.0,98319609.0
(주)고영테크놀러지,98460,2014/12,141720465.0,115835240.0
(주)고영테크놀러지,98460,2015/12,158857627.0,131475647.0
(주)고영테크놀러지,98460,2016/12,195121241.0,157267580.0
(주)고영테크놀러지,98460,2017/12,205207385.0,161317171.0
(주)고영테크놀러지,98460,2018/12,279059436.0,225866639.0
(주)고영테크놀러지,98460,2019/12,305481184.0,243668528.0
(주)고영테크놀러지,98460,2020/12,302574461.0,246058103.0
(주)골드앤에스,35290,2011/12,46677146.0,22436829.0
(주)골드앤에스,35290,2012/12,51950606.0,25517817.0
(주)골드앤에스,35290,2013/12,51442505.0,13127355.0
(주)골드앤에스,35290,2014/12,46528474.0,12082621.0
(주)골드앤에스,35290,2015/12,24102094.0,15160254.0
(주)골드앤에스,35290,2016/12,18671644.0,14268527.0
(주)골드앤에스,35290,2017/12,17173934.0,13346076.0
(주)골드앤에스,35290,2018/12,42472631.0,13779569.0
(주)골드앤에스,35290,2019/12,16096170.0,-5091573.0
(주)골드앤에스,35290,2020/12,20634172.0,14398168.0
(주)골드퍼시픽,38530,2011/12,27473520.0,21829724.0
(주)골드퍼시픽,38530,2012/12,29861540.0,22928402.0
(주)골드퍼시픽,38530,2013/12,33687572.0,16190999.0
(주)골드퍼시픽,38530,2014/12,41948832.0,16567915.0
(주)골드퍼시픽,38530,2015/12,28573328.0,21193149.0
(주)골드퍼시픽,38530,2016/12,11122066.0,1889641.0
(주)골드퍼시픽,38530,2017/12,26567967.0,5364494.0
(주)골드퍼시픽,38530,2018/12,37825442.0,20086698.0
(주)골드퍼시픽,38530,2019/12,72945743.0,21069318.0
(주)골드퍼시픽,38530,2020/12,71420104.0,59737820.0
(주)골프존,215000,2015/12,178132253.0,108853909.0
(주)골프존,215000,2016/12,187914226.0,120648626.0
(주)골프존,215000,2017/12,253672419.0,189381881.0
(주)골프존,215000,2018/12,254057808.0,194919561.0
(주)골프존,215000,2019/12,312587283.0,200042879.0
(주)골프존,215000,2020/12,367293667.0,225570692.0
(주)골프존뉴딘홀딩스,121440,2011/12,378054302.0,348968757.0
(주)골프존뉴딘홀딩스,121440,2012/12,540922890.0,411636973.0
(주)골프존뉴딘홀딩스,121440,2013/12,637840057.0,424543916.0
(주)골프존뉴딘홀딩스,121440,2014/12,762037240.0,486385956.0
(주)골프존뉴딘홀딩스,121440,2015/12,767325175.0,551360423.0
(주)골프존뉴딘홀딩스,121440,2016/12,760772930.0,528087415.0
(주)골프존뉴딘홀딩스,121440,2017/12,756500949.0,500912642.0
(주)골프존뉴딘홀딩스,121440,2018/12,774743339.0,485969871.0
