,회사명,거래소코드,회계년도,종업원수증가율
0,(주)CMG제약,58820,2011/12,4.65
1,(주)CMG제약,58820,2012/12,-0.74
2,(주)CMG제약,58820,2013/12,1.49
3,(주)CMG제약,58820,2014/12,20.59
4,(주)CMG제약,58820,2015/12,-4.88
5,(주)CMG제약,58820,2016/12,2.56
6,(주)CMG제약,58820,2017/12,25.0
7,(주)CMG제약,58820,2018/12,11.0
8,(주)CMG제약,58820,2019/12,8.56
9,(주)CMG제약,58820,2020/12,-1.66
10,(주)DB하이텍,990,2011/12,5.38
11,(주)DB하이텍,990,2012/12,-10.25
12,(주)DB하이텍,990,2013/12,-7.03
13,(주)DB하이텍,990,2014/12,-6.68
14,(주)DB하이텍,990,2015/12,0.25
15,(주)DB하이텍,990,2016/12,2.15
16,(주)DB하이텍,990,2017/12,-5.23
17,(주)DB하이텍,990,2018/12,0.77
18,(주)DB하이텍,990,2019/12,1.23
19,(주)DB하이텍,990,2020/12,1.67
20,(주)ES큐브,50120,2011/12,20.3
21,(주)ES큐브,50120,2012/12,-0.42
22,(주)ES큐브,50120,2013/12,-57.63
23,(주)ES큐브,50120,2014/12,-73.0
24,(주)ES큐브,50120,2015/12,44.44
25,(주)ES큐브,50120,2016/12,-23.08
26,(주)ES큐브,50120,2017/12,16.67
27,(주)ES큐브,50120,2018/12,-14.29
28,(주)ES큐브,50120,2019/12,0.0
29,(주)ES큐브,50120,2020/12,-20.0
30,(주)HJ중공업,97230,2011/12,-19.81
31,(주)HJ중공업,97230,2012/12,-5.42
32,(주)HJ중공업,97230,2013/12,4.71
33,(주)HJ중공업,97230,2014/12,-7.76
34,(주)HJ중공업,97230,2015/12,3.46
35,(주)HJ중공업,97230,2016/12,-6.04
36,(주)HJ중공업,97230,2017/12,0.81
37,(주)HJ중공업,97230,2018/12,-8.9
38,(주)HJ중공업,97230,2019/12,-11.23
39,(주)HJ중공업,97230,2020/12,-3.57
40,(주)MH에탄올,23150,2011/12,-3.77
41,(주)MH에탄올,23150,2012/12,1.96
42,(주)MH에탄올,23150,2013/12,-1.92
43,(주)MH에탄올,23150,2014/12,3.92
44,(주)MH에탄올,23150,2015/12,-11.32
45,(주)MH에탄올,23150,2016/12,-8.51
46,(주)MH에탄올,23150,2017/12,11.63
47,(주)MH에탄올,23150,2018/12,4.17
48,(주)MH에탄올,23150,2019/12,-6.0
49,(주)MH에탄올,23150,2020/12,14.89
50,(주)SH에너지화학,2360,2011/12,-1.8
