회사명,거래소코드,회계년도,상장일,상장폐지일,매출액증가율_계산
(주)CMG제약,58820,2010/12,2001/08/31,,11.861801472244071
(주)CMG제약,58820,2011/12,2001/08/31,,56.39690481910844
(주)CMG제약,58820,2012/12,2001/08/31,,-8.429134465063184
(주)CMG제약,58820,2013/12,2001/08/31,,25.51000778880161
(주)CMG제약,58820,2014/12,2001/08/31,,11.520575782736517
(주)CMG제약,58820,2015/12,2001/08/31,,18.851968637935805
(주)CMG제약,58820,2016/12,2001/08/31,,21.921286282684193
(주)CMG제약,58820,2017/12,2001/08/31,,25.980614091824872
(주)CMG제약,58820,2018/12,2001/08/31,,20.053150565726913
(주)CMG제약,58820,2019/12,2001/08/31,,17.563295473747385
(주)CMG제약,58820,2020/12,2001/08/31,,9.957255281449854
(주)DB하이텍,990,2010/12,1975/12/12,,-43.310613395065204
(주)DB하이텍,990,2011/12,1975/12/12,,-21.21911982706425
(주)DB하이텍,990,2012/12,1975/12/12,,6.984626647482998
(주)DB하이텍,990,2013/12,1975/12/12,,-16.424624119026905
(주)DB하이텍,990,2014/12,1975/12/12,,14.980433862643295
(주)DB하이텍,990,2015/12,1975/12/12,,17.416520876032333
(주)DB하이텍,990,2016/12,1975/12/12,,15.983497487658124
(주)DB하이텍,990,2017/12,1975/12/12,,-12.08091862461475
(주)DB하이텍,990,2018/12,1975/12/12,,-1.5386239902546885
(주)DB하이텍,990,2019/12,1975/12/12,,20.63971212752701
(주)DB하이텍,990,2020/12,1975/12/12,,15.915373943291714
(주)ES큐브,50120,2010/12,2002/04/25,,22.585879322701455
(주)ES큐브,50120,2011/12,2002/04/25,,54.098256635605935
(주)ES큐브,50120,2012/12,2002/04/25,,4.854247527236442
(주)ES큐브,50120,2013/12,2002/04/25,,4.692085370342688
(주)ES큐브,50120,2014/12,2002/04/25,,-24.126990974900732
(주)ES큐브,50120,2015/12,2002/04/25,,-5.188114570850319
(주)ES큐브,50120,2016/12,2002/04/25,,-18.654871909728204
(주)ES큐브,50120,2017/12,2002/04/25,,4.247404845552056
(주)ES큐브,50120,2018/12,2002/04/25,,-5.545508375055258
(주)ES큐브,50120,2019/12,2002/04/25,,29.45408101551533
(주)ES큐브,50120,2020/12,2002/04/25,,84.57029348631502
(주)HJ중공업,97230,2010/12,2007/08/31,,-13.304304771097748
(주)HJ중공업,97230,2011/12,2007/08/31,,-9.364472804473884
(주)HJ중공업,97230,2012/12,2007/08/31,,-11.834000288431708
(주)HJ중공업,97230,2013/12,2007/08/31,,-0.7836602637802488
(주)HJ중공업,97230,2014/12,2007/08/31,,-0.35645648411977665
(주)HJ중공업,97230,2015/12,2007/08/31,,23.61393867854344
(주)HJ중공업,97230,2016/12,2007/08/31,,-9.700035917499527
(주)HJ중공업,97230,2017/12,2007/08/31,,-12.830509396357478
(주)HJ중공업,97230,2018/12,2007/08/31,,-30.764616602930943
(주)HJ중공업,97230,2019/12,2007/08/31,,-4.070867658223338
(주)HJ중공업,97230,2020/12,2007/08/31,,4.1175109025259236
