회사명,거래소코드,회계년도,당기순이익(순손실),매출액(영업수익)(*),영업이익(손실)
(주)CMG제약,058820,2001/12,110431,15822816,294030
(주)CMG제약,058820,2002/12,-2254749,26394126,-3817019
(주)CMG제약,058820,2003/12,110249,17389284,-914055
(주)CMG제약,058820,2004/12,-3873234,13083977,-2838322
(주)CMG제약,058820,2005/12,-2558027,4186236,-1994985
(주)CMG제약,058820,2006/12,-3410630,3324793,-1183380
(주)CMG제약,058820,2007/12,-890098,1795969,-1334326
(주)CMG제약,058820,2008/12,-4659443,10808242,-3785500
(주)CMG제약,058820,2009/12,-18176776,10146823,-8649578
(주)CMG제약,058820,2010/12,-7648552,11350419,-7452579
(주)DB하이텍,000990,2000/12,13742382,811354526,50510272
(주)DB하이텍,000990,2001/12,5598242,792006056,56563731
(주)DB하이텍,000990,2002/12,16303309,742225438,52449026
(주)DB하이텍,000990,2003/12,13046817,795024394,41419055
(주)DB하이텍,000990,2004/12,40964607,1068282276,89674686
(주)DB하이텍,000990,2005/12,11223900,1152170114,32920124
(주)DB하이텍,000990,2006/12,2096915,1073524606,20643968
(주)DB하이텍,000990,2007/12,-16938761,1372190425,-15283190
(주)DB하이텍,000990,2008/12,-281570478,1347649484,-88544577
(주)DB하이텍,000990,2009/12,-176442539,1152892773,-130420429
(주)DB하이텍,000990,2010/12,-66059882,593441908,-281337489
(주)ES큐브,050120,2002/06,519594,27234487,846206
(주)ES큐브,050120,2003/06,372952,23863639,143098
(주)ES큐브,050120,2004/06,37065,22432503,124194
(주)ES큐브,050120,2005/12,-5192359,14910931,-1941132
(주)ES큐브,050120,2006/12,-3338465,13725713,-1620722
(주)ES큐브,050120,2007/12,-394009,11780581,-2177592
(주)ES큐브,050120,2008/12,-3255318,12987121,-2702389
(주)ES큐브,050120,2009/12,3747309,28257908,937690
(주)ES큐브,050120,2010/12,-2249725,34640205,704325
(주)HJ중공업,097230,2007/12,28408000,1444721000,115766000
(주)HJ중공업,097230,2008/12,62998000,3848033000,510367000
(주)HJ중공업,097230,2009/12,51904000,3227619000,460906000
(주)HJ중공업,097230,2010/12,-51745000,2755870000,201423000
(주)LG데이콤,015940,2000/12,-92300974,998874791,2507234
(주)LG데이콤,015940,2001/12,-68792395,997104495,87219314
(주)LG데이콤,015940,2002/12,23828869,1058088296,96143802
(주)LG데이콤,015940,2003/12,-245360754,1002074106,45326579
(주)LG데이콤,015940,2004/12,38804671,1068486871,139179464
