회사명,거래소코드,회계년도,매출액(영업수익)(*)(연결),영업이익(손실)(연결),당기순이익(순손실)(연결)
(주)CMG제약,058820,2001/12,,,
(주)CMG제약,058820,2002/12,,,
(주)CMG제약,058820,2003/12,,,
(주)CMG제약,058820,2004/12,,,
(주)CMG제약,058820,2005/12,,,
(주)CMG제약,058820,2006/12,,,
(주)CMG제약,058820,2007/12,,,
(주)CMG제약,058820,2008/12,,,
(주)CMG제약,058820,2009/12,,,
(주)CMG제약,058820,2010/12,,,
(주)DB하이텍,000990,2000/12,824609854,51401026,14014949
(주)DB하이텍,000990,2001/12,851708318,60709807,7122252
(주)DB하이텍,000990,2002/12,789679473,55765071,17401180
(주)DB하이텍,000990,2003/12,,,
(주)DB하이텍,000990,2004/12,1068294080,87223232,40478937
(주)DB하이텍,000990,2005/12,1152170114,32913013,11223900
(주)DB하이텍,000990,2006/12,1144404300,23646591,2276757
(주)DB하이텍,000990,2007/12,1462818466,-38254428,-53586804
(주)DB하이텍,000990,2008/12,1880810771,33826453,-299266983
(주)DB하이텍,000990,2009/12,1236478565,-136195840,-183352446
(주)DB하이텍,000990,2010/12,700952114,-279258370,-70971977
(주)ES큐브,050120,2002/06,17510166,800696,519594
(주)ES큐브,050120,2003/06,17507221,353695,372952
(주)ES큐브,050120,2004/06,16160299,30047,37065
(주)ES큐브,050120,2005/12,14740166,-2085847,-5192359
(주)ES큐브,050120,2006/12,14281239,-1306818,-3338465
(주)ES큐브,050120,2007/12,,,
(주)ES큐브,050120,2008/12,,,
(주)ES큐브,050120,2009/12,,,
(주)ES큐브,050120,2010/12,,,
(주)HJ중공업,097230,2007/12,1218728000,34411000,28408000
(주)HJ중공업,097230,2008/12,3403175000,365873000,62998000
(주)HJ중공업,097230,2009/12,3679824000,390400000,51644000
(주)HJ중공업,097230,2010/12,3190249000,218572000,-51484000
(주)LG데이콤,015940,2000/12,1030367465,-10270762,-100104588
(주)LG데이콤,015940,2001/12,1069916232,83363846,-64013615
(주)LG데이콤,015940,2002/12,1164543374,103221977,22464466
(주)LG데이콤,015940,2003/12,1568085005,161396680,-228070992
(주)LG데이콤,015940,2004/12,1654317322,259266591,80230259
(주)LG데이콤,015940,2005/12,1722152567,208077488,89921355
(주)LG데이콤,015940,2006/12,1883040253,153553642,129942864
(주)LG데이콤,015940,2007/12,2196588257,250720505,147176582
(주)LG데이콤,015940,2008/12,2581992340,281939051,122927288
(주)LG파워콤,045820,2008/12,,,
(주)MH에탄올,023150,2000/12,,,
(주)MH에탄올,023150,2001/12,,,
(주)MH에탄올,023150,2002/12,,,
(주)MH에탄올,023150,2003/12,,,
(주)MH에탄올,023150,2004/12,,,
(주)MH에탄올,023150,2005/12,,,
(주)MH에탄올,023150,2006/12,,,
(주)MH에탄올,023150,2007/12,,,
(주)MH에탄올,023150,2008/12,49351924,-1699319,-6464280
(주)MH에탄올,023150,2009/12,64449297,4917386,1317046
(주)MH에탄올,023150,2010/12,54086091,1999146,-1208010
(주)SH에너지화학,002360,2000/06,83488578,6387996,-2542845
(주)SH에너지화학,002360,2001/06,83912579,5443682,2890462
(주)SH에너지화학,002360,2002/06,89874723,9891494,7328499
(주)SH에너지화학,002360,2003/06,108874967,3867212,-1607801
(주)SH에너지화학,002360,2004/06,155996139,-319435,-3775598
(주)SH에너지화학,002360,2005/06,197037822,-956624,-3770340
(주)SH에너지화학,002360,2006/12,211750369,908020,-1639165
(주)SH에너지화학,002360,2007/12,233763567,3416792,2748712
(주)SH에너지화학,002360,2008/12,248526220,-14138266,-15592873
(주)SH에너지화학,002360,2009/12,136846039,5763512,4921009
(주)SH에너지화학,002360,2010/12,150630768,3373545,-3782166
(주)SIMPAC,009160,2000/12,,,
(주)SIMPAC,009160,2001/12,,,
(주)SIMPAC,009160,2002/12,,,
(주)SIMPAC,009160,2003/12,,,
(주)SIMPAC,009160,2004/12,,,
(주)SIMPAC,009160,2005/12,,,
(주)SIMPAC,009160,2006/12,,,
(주)SIMPAC,009160,2007/12,,,
(주)SIMPAC,009160,2008/12,,,
(주)SIMPAC,009160,2009/12,122569148,11711303,13692827
(주)SIMPAC,009160,2010/12,180845670,23092935,20122186
(주)SNT에너지,100840,2008/12,,,
(주)SNT에너지,100840,2009/12,,,
(주)SNT에너지,100840,2010/12,,,
(주)SNT홀딩스,036530,2002/12,,,
(주)SNT홀딩스,036530,2003/12,228108878,4758756,20622588
(주)SNT홀딩스,036530,2004/12,328227067,16925357,31747755
(주)SNT홀딩스,036530,2005/12,374579864,23321286,27993381
(주)SNT홀딩스,036530,2006/12,959964537,52182297,43192854
(주)SNT홀딩스,036530,2007/12,1246833419,82012387,54042745
(주)SNT홀딩스,036530,2008/12,1090955909,64060698,59128996
(주)SNT홀딩스,036530,2009/12,1176421032,102007292,66370249
(주)SNT홀딩스,036530,2010/12,1498605411,120395062,94564129
(주)STX,011810,2000/12,293286301,37802633,2769474
(주)STX,011810,2001/12,485036506,39440092,5286523
(주)STX,011810,2002/12,976013576,82643408,15342393
(주)STX,011810,2003/12,1229648691,80066847,-2743197
(주)STX,011810,2004/12,2123173148,-28802107,49305538
(주)STX,011810,2005/12,4255319751,121637388,131735949
(주)STX,011810,2006/12,4810543607,212154726,132608735
(주)STX,011810,2007/12,8346308915,642149075,463901895
(주)STX,011810,2008/12,16265269019,842889640,363078281
(주)STX,011810,2009/12,16994193759,-191953764,-500413506
(주)STX,011810,2010/12,19607371235,427858780,25672189
(주)TCC스틸,002710,2000/12,244227642,14307912,5625114
(주)TCC스틸,002710,2001/12,254601800,14299893,2168929
(주)TCC스틸,002710,2002/12,263647511,9418706,4942314
(주)TCC스틸,002710,2003/12,289797303,8243366,5535685
(주)TCC스틸,002710,2004/12,361287927,5428132,14374974
(주)TCC스틸,002710,2005/12,347212301,5312091,3360673
(주)TCC스틸,002710,2006/12,283226170,-522384,6778310
(주)TCC스틸,002710,2007/12,297902140,8296271,952516
(주)TCC스틸,002710,2008/12,437461926,52331474,624601
(주)TCC스틸,002710,2009/12,363845213,15084342,12010743
(주)TCC스틸,002710,2010/12,442430416,15738571,10765811
(주)가비아,079940,2005/12,,,
(주)가비아,079940,2006/12,,,
(주)가비아,079940,2007/12,27270400,4871357,3022438
(주)가비아,079940,2008/12,32695039,5522735,2909428
(주)가비아,079940,2009/12,35644995,5631163,4441702
(주)가비아,079940,2010/12,40746190,6616833,5289526
(주)갑을,009840,2000/12,297559721,-4496371,-89776749
(주)갑을,009840,2001/12,564188666,25784350,-245440190
(주)갑을,009840,2002/12,,,
(주)강원랜드,035250,2001/12,,,
(주)강원랜드,035250,2002/12,,,
(주)강원랜드,035250,2003/12,,,
(주)강원랜드,035250,2004/12,,,
(주)강원랜드,035250,2005/12,,,
(주)강원랜드,035250,2006/12,,,
(주)강원랜드,035250,2007/12,,,
(주)강원랜드,035250,2008/12,,,
(주)강원랜드,035250,2009/12,1206658712,463657864,390000453
(주)강원랜드,035250,2010/12,1314090565,565893599,421119501
(주)강원에너지,114190,2009/11,,,
(주)강원에너지,114190,2010/11,,,
(주)갤럭시아에스엠,011420,2000/12,80300777,5240859,896380
(주)갤럭시아에스엠,011420,2001/12,65486715,5322353,1448570
(주)갤럭시아에스엠,011420,2002/12,,,
(주)갤럭시아에스엠,011420,2003/12,61846728,949280,-3250884
(주)갤럭시아에스엠,011420,2004/12,29759229,-12428870,64902
(주)갤럭시아에스엠,011420,2005/12,32424868,-5295401,-7377900
(주)갤럭시아에스엠,011420,2006/12,45284226,-792464,-7515189
(주)갤럭시아에스엠,011420,2007/12,,,
(주)갤럭시아에스엠,011420,2008/12,,,
(주)갤럭시아에스엠,011420,2009/12,,,
(주)갤럭시아에스엠,011420,2010/12,,,
(주)건영,012720,2000/12,,,
(주)건영,012720,2001/12,,,
(주)건영,012720,2002/12,,,
(주)경농,002100,2000/12,,,
