회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),자본(*)(요약)(IFRS)(백만원),부가가치(IFRS)(백만원),유형자산(요약)(IFRS)(백만원),기계장치(IFRS)(천원),(감가상각누계액)(IFRS)(천원),자산(*)(요약)(IFRS)(백만원),상장일,상장폐지일
(주)CMG제약,058820,2011/12,-2488268,18291,3669.25,9653,3944218,1282580,27549,2001/08/31,
(주)CMG제약,058820,2012/12,-1453276,31603,-88.04,9264,4288368,1801037,56989,2001/08/31,
(주)CMG제약,058820,2013/12,-3891420,49048,6952.08,10805,4595388,2201124,55962,2001/08/31,
(주)CMG제약,058820,2014/12,730447,49067,7065.04,18834,7950710,2957604,58127,2001/08/31,
(주)CMG제약,058820,2015/12,2411254,46873,4316.8,17822,8328336,3959213,56592,2001/08/31,
(주)CMG제약,058820,2016/12,3321352,101108,10518.86,16906,8523793,4996203,110980,2001/08/31,
(주)CMG제약,058820,2017/12,1948086,97944,13710.01,16183,9029339,5784037,109568,2001/08/31,
(주)CMG제약,058820,2018/12,886779,103982,16847.65,17269,9751312,6431874,114380,2001/08/31,
(주)CMG제약,058820,2019/12,2823387,180158,19033.25,24119,10703886,7254135,192243,2001/08/31,
(주)CMG제약,058820,2020/12,2944289,181131,17019.7,29741,11010897,8140301,195356,2001/08/31,
(주)DB하이텍,000990,2011/12,61642286,291709,216914,758180,1531278817,1017773000,1183957,1975/12/12,
(주)DB하이텍,000990,2012/12,68047966,274553,241800.39,684941,1456050000,1031707000,1149069,1975/12/12,
(주)DB하이텍,000990,2013/12,28528798,197287,198528.8,635765,1462150000,1087800000,1049495,1975/12/12,
(주)DB하이텍,000990,2014/12,47362460,136104,207672.46,591653,1475386000,1136959000,1001960,1975/12/12,
(주)DB하이텍,000990,2015/12,150510354,277663,382610.36,533114,1550672000,1183348000,1005674,1975/12/12,
(주)DB하이텍,000990,2016/12,247018873,364450,336460.47,547688,1630540000,1233855000,1006371,1975/12/12,
(주)DB하이텍,000990,2017/12,182244045,441547,292737.25,555556,1684434000,1265531000,977575,1975/12/12,
