회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),당기순이익(손실)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
(주)CMG제약,058820,2011/12,17751704,-1264488,714950
(주)CMG제약,058820,2012/12,16255389,-6892739,-4045140
(주)CMG제약,058820,2013/12,20322140,335258,822547
(주)CMG제약,058820,2014/12,22752584,171502,446018
(주)CMG제약,058820,2015/12,27041894,-3648668,-2570878
(주)CMG제약,058820,2016/12,32969825,1693463,1730753
(주)CMG제약,058820,2017/12,41535588,2834901,1558607
(주)CMG제약,058820,2018/12,49864782,6065026,2567820
(주)CMG제약,058820,2019/12,58622681,3051177,2603774
(주)CMG제약,058820,2020/12,64459891,214996,1822365
(주)DB하이텍,000990,2011/12,534317238,-93084414,-39983672
(주)DB하이텍,000990,2012/12,583901597,-32121504,-14429657
(주)DB하이텍,000990,2013/12,493752028,-73243309,-9392980
(주)DB하이텍,000990,2014/12,567718224,-58319918,45310506
(주)DB하이텍,000990,2015/12,666594987,127469869,124372824
(주)DB하이텍,000990,2016/12,773140180,88002359,171787648
(주)DB하이텍,000990,2017/12,679737744,74401732,142353689
(주)DB하이텍,000990,2018/12,669279136,95087399,112884303
(주)DB하이텍,000990,2019/12,807416423,121159865,181155872
(주)DB하이텍,000990,2020/12,935919766,165657642,239188805
(주)ES큐브,050120,2011/12,41700477,-2933429,-2080143
(주)ES큐브,050120,2012/12,44178050,516857,645839
(주)ES큐브,050120,2013/12,45823196,-14749080,217136
(주)ES큐브,050120,2014/12,37188072,-2412385,325909
(주)ES큐브,050120,2015/12,36887119,3610344,2370570
(주)ES큐브,050120,2016/12,34818205,17469014,2359527
(주)ES큐브,050120,2017/12,37104908,1218923,2170102
(주)ES큐브,050120,2018/12,31308873,-3836071,691469
(주)ES큐브,050120,2019/12,28527284,-12738710,587700
(주)ES큐브,050120,2020/12,30293088,-29081429,1452732
(주)HJ중공업,097230,2011/12,2316017000,-116272000,59453000
(주)HJ중공업,097230,2012/12,1980761000,13082000,28591000
(주)HJ중공업,097230,2013/12,1927307000,-212716000,-109107000
(주)HJ중공업,097230,2014/12,1799016000,-225739000,-106249000
(주)HJ중공업,097230,2015/12,2041347000,-260118000,-97810000
(주)HJ중공업,097230,2016/12,1928591000,-334429000,49319000
(주)HJ중공업,097230,2017/12,1737428000,-299028000,86683000
(주)HJ중공업,097230,2018/12,1750954000,-963474000,-66005000
(주)HJ중공업,097230,2019/12,1609530000,-73654000,77055000
(주)HJ중공업,097230,2020/12,1694634000,76553000,51087000
(주)MH에탄올,023150,2011/12,43206995,3351943,6908187
(주)MH에탄올,023150,2012/12,45488675,2571700,6518758
(주)MH에탄올,023150,2013/12,46298516,-11627211,9650241
(주)MH에탄올,023150,2014/12,48983781,4618332,8746818
(주)MH에탄올,023150,2015/12,50386203,7744832,11094172
(주)MH에탄올,023150,2016/12,48897025,8134873,11876872
(주)MH에탄올,023150,2017/12,48270464,5903108,10452914
(주)MH에탄올,023150,2018/12,46943080,6553371,9028515
(주)MH에탄올,023150,2019/12,46992295,-5004935,7828586
(주)MH에탄올,023150,2020/12,51277355,1156387,8238755
(주)SH에너지화학,002360,2011/12,172752632,3164441,4987642
(주)SH에너지화학,002360,2012/12,191907628,1079738,2874585
(주)SH에너지화학,002360,2013/12,229783541,4841817,7203175
(주)SH에너지화학,002360,2014/12,226971465,15569914,20274504
(주)SH에너지화학,002360,2015/12,213882181,12639344,22899622
(주)SH에너지화학,002360,2016/12,214380015,17574101,23600205
(주)SH에너지화학,002360,2017/12,184672638,8905104,13189274
(주)SH에너지화학,002360,2018/12,180753289,2766802,2811557
(주)SH에너지화학,002360,2019/12,138161816,-3151629,-2363194
(주)SH에너지화학,002360,2020/12,91354318,-7218778,-7104116
(주)SIMPAC,009160,2011/12,213867522,21196377,27382839
(주)SIMPAC,009160,2012/12,223854758,22517068,25309896
(주)SIMPAC,009160,2013/12,204527751,19196136,23741361
(주)SIMPAC,009160,2014/12,227491803,10218575,18736806
(주)SIMPAC,009160,2015/12,213152303,19448583,23630499
(주)SIMPAC,009160,2016/12,215839356,16444650,21406076
(주)SIMPAC,009160,2017/12,203150228,7133940,13971089
(주)SIMPAC,009160,2018/12,268863854,62381304,7215888
(주)SIMPAC,009160,2019/12,391970769,11507259,8438305
(주)SIMPAC,009160,2020/12,272087150,26301694,6895814
(주)SNT에너지,100840,2011/12,195318747,-4155767,-6597216
(주)SNT에너지,100840,2012/12,230707564,9087721,15132783
(주)SNT에너지,100840,2013/12,200750984,16189688,16804410
(주)SNT에너지,100840,2014/12,242746888,11264253,13777651
(주)SNT에너지,100840,2015/12,260094045,27029932,33918033
(주)SNT에너지,100840,2016/12,254089906,1659742,1195144
(주)SNT에너지,100840,2017/12,184091945,4581777,19201911
(주)SNT에너지,100840,2018/12,139516396,1825479,-1892191
(주)SNT에너지,100840,2019/12,202822913,14578960,14679703
(주)SNT에너지,100840,2020/12,229991237,9407217,22712569
(주)SNT홀딩스,036530,2011/12,2257851,5766277,-4240083
(주)SNT홀딩스,036530,2012/12,8718270,9011145,6695560
(주)SNT홀딩스,036530,2013/12,8826810,8018313,6923357
(주)SNT홀딩스,036530,2014/12,7701882,6891599,5966121
(주)SNT홀딩스,036530,2015/12,8475099,27765789,6719535
(주)SNT홀딩스,036530,2016/12,9818190,6923176,7999927
(주)SNT홀딩스,036530,2017/12,7417869,4172419,5401909
(주)SNT홀딩스,036530,2018/12,7292112,6218079,5392033
(주)SNT홀딩스,036530,2019/12,11015928,9244252,8991504
(주)SNT홀딩스,036530,2020/12,25309708,22951239,22973048
(주)STX,011810,2011/12,4173397000,84657000,61711000
(주)STX,011810,2012/12,4116767000,-23863000,17733000
(주)STX,011810,2013/12,1895063000,-1646014000,-67233000
(주)STX,011810,2014/12,1291351000,334488000,23414000
(주)STX,011810,2015/12,1362127000,-53449000,-16336000
(주)STX,011810,2016/12,1465561000,-456150000,-105780000
(주)STX,011810,2017/12,1595494000,336179000,30170000
(주)STX,011810,2018/12,1329890000,5024000,-6902000
(주)STX,011810,2019/12,1237876000,-37142000,-13697000
(주)STX,011810,2020/12,788462000,-16578000,-7439000
(주)TCC스틸,002710,2011/12,456928069,6828699,12575854
(주)TCC스틸,002710,2012/12,440568155,4206491,11675644
(주)TCC스틸,002710,2013/12,419483813,391783,8348275
(주)TCC스틸,002710,2014/12,401323585,1022624,10868549
(주)TCC스틸,002710,2015/12,350074629,-140083396,14570434
(주)TCC스틸,002710,2016/12,317235565,15468493,13291420
(주)TCC스틸,002710,2017/12,333762378,-2328706,6759804
(주)TCC스틸,002710,2018/12,351301866,7565000,16306122
(주)TCC스틸,002710,2019/12,339334364,1996130,12657106
(주)TCC스틸,002710,2020/12,323435107,-3176050,2414062
(주)가비아,079940,2011/12,33792831,3262397,3932156
(주)가비아,079940,2012/12,38482449,5737877,2949228
(주)가비아,079940,2013/12,40507693,3786937,3035051
(주)가비아,079940,2014/12,43906243,3076978,3451259
(주)가비아,079940,2015/12,48446932,4288423,4531993
(주)가비아,079940,2016/12,49430564,3544032,3981746
(주)가비아,079940,2017/12,52365659,2493743,3176328
(주)가비아,079940,2018/12,55197652,2762732,4106091
(주)가비아,079940,2019/12,58254105,4654769,4889113
(주)가비아,079940,2020/12,64097025,4758214,7129578
(주)가온칩스,399720,2018/12,,,
(주)가온칩스,399720,2019/12,,,
(주)가온칩스,399720,2020/12,17098306,1851742,1973589
(주)강스템바이오텍,217730,2013/12,,,
(주)강스템바이오텍,217730,2014/12,,,
(주)강스템바이오텍,217730,2015/12,1484593,-5754141,-5125200
(주)강스템바이오텍,217730,2016/12,842805,-8300375,-9117541
(주)강스템바이오텍,217730,2017/12,5394323,-10855842,-11132505
(주)강스템바이오텍,217730,2018/12,1001039,-13500909,-10525345
(주)강스템바이오텍,217730,2019/12,282069,-25001590,-19411148
(주)강스템바이오텍,217730,2020/12,295379,-19492205,-16744948
(주)강원랜드,035250,2011/12,1263651213,393401121,501039825
(주)강원랜드,035250,2012/12,1292896121,296503993,416789419
(주)강원랜드,035250,2013/12,1356906162,293129468,398563590
(주)강원랜드,035250,2014/12,1492291312,363815729,526317689
(주)강원랜드,035250,2015/12,1630976696,430459518,603884505
(주)강원랜드,035250,2016/12,1694575212,454998593,624885355
(주)강원랜드,035250,2017/12,1602901764,437096330,535824585
(주)강원랜드,035250,2018/12,1436042435,297320114,434851737
(주)강원랜드,035250,2019/12,1517612252,335609508,502725264
(주)강원랜드,035250,2020/12,477474858,-278763195,-430879909
(주)강원에너지,114190,2011/11,50222892,5754715,6590008
(주)강원에너지,114190,2012/12,106471214,8974549,11611165
(주)강원에너지,114190,2013/12,50660659,3922208,3234230
(주)강원에너지,114190,2014/12,51481321,1123194,1626297
(주)강원에너지,114190,2015/12,48852892,885783,878120
(주)강원에너지,114190,2016/12,44448760,-762058,-901973
(주)강원에너지,114190,2017/12,83113029,-6291307,-5421114
(주)강원에너지,114190,2018/12,85905365,1977524,532248
(주)강원에너지,114190,2019/12,42549622,-33460765,-17150531
(주)강원에너지,114190,2020/12,38345166,-14039206,-8978062
(주)갤럭시아에스엠,011420,2011/12,31931418,3000743,5151679
(주)갤럭시아에스엠,011420,2012/12,37398255,223810,1598883
(주)갤럭시아에스엠,011420,2013/12,30903637,-1420345,652285
(주)갤럭시아에스엠,011420,2014/12,33027933,-931106,-512149
(주)갤럭시아에스엠,011420,2015/12,53784932,2575902,2581511
(주)갤럭시아에스엠,011420,2016/12,45665676,-1562620,-3225040
(주)갤럭시아에스엠,011420,2017/12,36917656,-5899738,-3330404
(주)갤럭시아에스엠,011420,2018/12,22030258,-15678085,-6687587
(주)갤럭시아에스엠,011420,2019/12,28732679,-1375316,-776659
(주)갤럭시아에스엠,011420,2020/12,19539594,983909,1375120
(주)경농,002100,2011/12,120728258,3154155,8213288
(주)경농,002100,2012/12,131021366,6590012,13993847
(주)경농,002100,2013/12,139237273,13751960,16404459
(주)경농,002100,2014/12,134806677,9271741,14039409
(주)경농,002100,2015/12,137609256,6488880,9122621
(주)경농,002100,2016/12,143209666,5770891,7226128
(주)경농,002100,2017/12,143175105,11539079,9079453
(주)경농,002100,2018/12,146216658,9613575,15180272
(주)경농,002100,2019/12,151342037,7061857,11750268
(주)경농,002100,2020/12,165655312,10459504,11856809
(주)경동나비엔,009450,2011/12,318269213,9445090,12583280
(주)경동나비엔,009450,2012/12,341339118,9214927,11593426
(주)경동나비엔,009450,2013/12,371601179,9251575,14798703
(주)경동나비엔,009450,2014/12,382392117,9082312,16079662
(주)경동나비엔,009450,2015/12,448302084,19320742,20800513
(주)경동나비엔,009450,2016/12,506082201,28636194,36574176
