회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),상장일,상장폐지일
(주)CMG제약,058820,2011/12,27548539,18290915,714950,-1264488,17751704,2001/08/31,
(주)CMG제약,058820,2012/12,56988604,31602540,-4045140,-6892739,16255389,2001/08/31,
(주)CMG제약,058820,2013/12,55961620,49048213,822547,335258,20322140,2001/08/31,
(주)CMG제약,058820,2014/12,58127098,49067039,446018,171502,22752584,2001/08/31,
(주)CMG제약,058820,2015/12,56591972,46872705,-2570878,-3648668,27041894,2001/08/31,
(주)CMG제약,058820,2016/12,110979867,101107635,1730753,1693463,32969825,2001/08/31,
(주)CMG제약,058820,2017/12,109568153,97944019,1558607,2834901,41535588,2001/08/31,
(주)CMG제약,058820,2018/12,114379880,103981846,2567820,6065026,49864782,2001/08/31,
(주)CMG제약,058820,2019/12,192243166,180158283,2603774,3051177,58622681,2001/08/31,
(주)CMG제약,058820,2020/12,195355583,181131004,1822365,214996,64459891,2001/08/31,
(주)DB하이텍,000990,2011/12,1183957429,291709498,-39983672,-93084414,534317238,1975/12/12,
(주)DB하이텍,000990,2012/12,1149069244,274553219,-14429657,-32121504,583901597,1975/12/12,
(주)DB하이텍,000990,2013/12,1049494642,197287466,-9392980,-73243309,493752028,1975/12/12,
(주)DB하이텍,000990,2014/12,1001959816,136104062,45310506,-58319918,567718224,1975/12/12,
(주)DB하이텍,000990,2015/12,1005673854,277662952,124372824,127469869,666594987,1975/12/12,
(주)DB하이텍,000990,2016/12,1006370876,364450453,171787648,88002359,773140180,1975/12/12,
(주)DB하이텍,000990,2017/12,977575054,441546809,142353689,74401732,679737744,1975/12/12,
(주)DB하이텍,000990,2018/12,1050696487,542557222,112884303,95087399,669279136,1975/12/12,
(주)DB하이텍,000990,2019/12,1089400761,645305205,181155872,121159865,807416423,1975/12/12,
(주)DB하이텍,000990,2020/12,1179256936,795236817,239188805,165657642,935919766,1975/12/12,
(주)ES큐브,050120,2011/12,45233434,39144414,-2080143,-2933429,41700477,2002/04/25,
(주)ES큐브,050120,2012/12,44676182,39881477,645839,516857,44178050,2002/04/25,
(주)ES큐브,050120,2013/12,47509654,43712820,217136,-14749080,45823196,2002/04/25,
(주)ES큐브,050120,2014/12,44914173,41226335,325909,-2412385,37188072,2002/04/25,
(주)ES큐브,050120,2015/12,47123684,44872641,2370570,3610344,36887119,2002/04/25,
(주)ES큐브,050120,2016/12,104459992,69832373,2359527,17469014,34818205,2002/04/25,
(주)ES큐브,050120,2017/12,104850192,71398467,2170102,1218923,37104908,2002/04/25,
(주)ES큐브,050120,2018/12,108481764,66518631,691469,-3836071,31308873,2002/04/25,
(주)ES큐브,050120,2019/12,136065488,53986331,587700,-12738710,28527284,2002/04/25,
(주)ES큐브,050120,2020/12,81995388,72949614,1452732,-29081429,30293088,2002/04/25,
(주)HJ중공업,097230,2011/12,5857119000,1874877000,59453000,-116272000,2316017000,2007/08/31,
(주)HJ중공업,097230,2012/12,5938108000,1863529000,28591000,13082000,1980761000,2007/08/31,
(주)HJ중공업,097230,2013/12,5839633000,1804609000,-109107000,-212716000,1927307000,2007/08/31,
(주)HJ중공업,097230,2014/12,5469810000,1761886000,-106249000,-225739000,1799016000,2007/08/31,
(주)HJ중공업,097230,2015/12,4638381000,1377529000,-97810000,-260118000,2041347000,2007/08/31,
(주)HJ중공업,097230,2016/12,3921561000,904150000,49319000,-334429000,1928591000,2007/08/31,
(주)HJ중공업,097230,2017/12,3312303000,563410000,86683000,-299028000,1737428000,2007/08/31,
(주)HJ중공업,097230,2018/12,2388369000,-398930000,-66005000,-963474000,1750954000,2007/08/31,
(주)HJ중공업,097230,2019/12,2465650000,247272000,77055000,-73654000,1609530000,2007/08/31,
(주)HJ중공업,097230,2020/12,2189125000,320418000,51087000,76553000,1694634000,2007/08/31,
(주)MH에탄올,023150,2011/12,135927085,56161251,6908187,3351943,43206995,1996/12/24,
(주)MH에탄올,023150,2012/12,139200817,58712944,6518758,2571700,45488675,1996/12/24,
(주)MH에탄올,023150,2013/12,122520742,47119925,9650241,-11627211,46298516,1996/12/24,
(주)MH에탄올,023150,2014/12,85253876,52507884,8746818,4618332,48983781,1996/12/24,
(주)MH에탄올,023150,2015/12,78691328,57569789,11094172,7744832,50386203,1996/12/24,
(주)MH에탄올,023150,2016/12,72025138,63257513,11876872,8134873,48897025,1996/12/24,
(주)MH에탄올,023150,2017/12,107437079,64698932,10452914,5903108,48270464,1996/12/24,
(주)MH에탄올,023150,2018/12,109656889,68471529,9028515,6553371,46943080,1996/12/24,
(주)MH에탄올,023150,2019/12,101058662,59477642,7828586,-5004935,46992295,1996/12/24,
(주)MH에탄올,023150,2020/12,97515830,57609425,8238755,1156387,51277355,1996/12/24,
(주)SH에너지화학,002360,2011/12,102383199,64498684,4987642,3164441,172752632,1985/12/23,
(주)SH에너지화학,002360,2012/12,102492810,64888612,2874585,1079738,191907628,1985/12/23,
(주)SH에너지화학,002360,2013/12,109984767,69781889,7203175,4841817,229783541,1985/12/23,
(주)SH에너지화학,002360,2014/12,109098264,83404299,20274504,15569914,226971465,1985/12/23,
(주)SH에너지화학,002360,2015/12,114048206,90740136,22899622,12639344,213882181,1985/12/23,
(주)SH에너지화학,002360,2016/12,122956894,103083032,23600205,17574101,214380015,1985/12/23,
(주)SH에너지화학,002360,2017/12,123261552,105717970,13189274,8905104,184672638,1985/12/23,
