회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS),매출액(수익)(*)(IFRS),당기순이익(손실)(IFRS),자본(*)(IFRS),이자비용(IFRS),이자수익(IFRS),배당금수익(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS),* 발행한 주식총수(*)(IFRS),자산(*)(IFRS),현금및현금성자산(*)(IFRS),유동부채(*)(IFRS),재고자산(*)(IFRS),유동자산(*)(IFRS),부채(*)(IFRS),합계_기말인원,법인세비용차감전(계속사업)손익(IFRS),인건비(IFRS),금융비용(IFRS),임차료(IFRS),세금과공과(IFRS),감가상각비(IFRS),상장일,상장폐지일
(주)CMG제약,058820,2011/12,714950,17751704,-1264488,18290915,181404,38316,0,-2488268,43693200,27548539,1152489,7620349,2743103,0,9257624,135,-1264.49,3110.72,143.09,339.77,0,1340.15,2001/08/31,
(주)CMG제약,058820,2012/12,-4045140,16255389,-6892739,31602540,542880,143216,0,-1453276,66025540,56988604,4673134,6665126,2955172,0,25386064,134,-6892.74,4677.39,399.66,335.12,0,1392.52,2001/08/31,
(주)CMG제약,058820,2013/12,822547,20322140,335258,49048213,1133753,806470,0,-3891420,86626866,55961620,21704962,5498201,4618718,0,6913407,136,350.27,4971.13,327.28,196.12,0,1107.28,2001/08/31,
(주)CMG제약,058820,2014/12,446018,22752584,171502,49067039,122840,279929,0,730447,86626866,58127098,8826926,8713579,4913103,0,9060059,164,171.5,5599.85,-157.09,215.13,0,1464.84,2001/08/31,
(주)CMG제약,058820,2015/12,-2570878,27041894,-3648668,46872705,79830,109662,0,2411254,88297244,56591972,2566164,8843328,5455617,0,9719267,156,-3648.67,6218.5,-29.83,195.67,0,1890.05,2001/08/31,
(주)CMG제약,058820,2016/12,1730753,32969825,1693463,101107635,0,153681,0,3321352,108707244,110979867,2148521,9136755,6393756,0,9872232,160,1642.24,6682.92,-153.68,293.08,0,2100.67,2001/08/31,
(주)CMG제약,058820,2017/12,1558607,41535588,2834901,97944019,0,1129441,0,1948086,108887244,109568153,3799004,10884321,7904518,0,11624134,200,2870.32,8786.99,-1129.44,543.32,0,1854.79,2001/08/31,
(주)CMG제약,058820,2018/12,2567820,49864782,6065026,103981846,0,502121,0,886779,108887244,114379880,13464430,8495060,8572582,0,10398033,222,3655.6,11342.93,-502.12,505.13,0,1846.11,2001/08/31,
(주)CMG제약,058820,2019/12,2603774,58622681,3051177,180158283,8593,1099682,0,2823387,138892244,192243166,18579821,9306387,9048933,0,12084883,241,3836.61,13817.61,-1091.09,477.47,0,2105.69,2001/08/31,
(주)CMG제약,058820,2020/12,1822365,64459891,214996,181131004,22853,840834,0,2944289,138892244,195355583,8053319,13648964,15046934,0,14224578,237,568.84,14661.14,-817.98,168.74,0,2435.53,2001/08/31,
(주)DB하이텍,000990,2011/12,-39983672,534317238,-93084414,291709498,57547000,5638990,0,61642286,42923284,1183957429,34534009,796794129,77112663,0,892247931,2567,-89117.01,131619,51908.01,0,0,122504.72,1975/12/12,
(주)DB하이텍,000990,2012/12,-14429657,583901597,-32121504,274553219,50196743,4058025,0,68047966,44511167,1149069244,38557398,563352691,79262392,0,874516025,2304,-48972.33,133918,46138.72,0,0,110716.49,1975/12/12,
(주)DB하이텍,000990,2013/12,-9392980,493752028,-73243309,197287466,59545366,2803605,0,28528798,44511167,1049494642,34683939,476710357,72377687,0,852207175,2142,-72586.96,126871,56731.76,0,0,87513,1975/12/12,
(주)DB하이텍,000990,2014/12,45310506,567718224,-58319918,136104062,67651856,1827322,0,47362460,44511167,1001959816,39292223,376149526,69179569,0,865855755,1999,-66734.07,126669,65819.53,0,0,81918,1975/12/12,
(주)DB하이텍,000990,2015/12,124372824,666594987,127469869,277662952,50040000,1317936,0,150510354,44511167,1005673854,104789976,242109386,83459568,0,728010902,2004,113917.29,137214,48721.06,0,0,82757,1975/12/12,
(주)DB하이텍,000990,2016/12,171787648,773140180,88002359,364450453,39113564,1650000,0,247018873,44511167,1006370876,110782463,271946015,76344778,0,641920423,2047,85133.9,137535,34479.56,0,0,79312,1975/12/12,
(주)DB하이텍,000990,2017/12,142353689,679737744,74401732,441546809,23682439,1965000,0,182244045,44511167,977575054,102087610,143100665,75018890,0,536028245,1940,69570.81,131160,21716.44,0,0,70290,1975/12/12,
(주)DB하이텍,000990,2018/12,112884303,669279136,95087399,542557222,16701486,3783160,0,182780278,44511167,1050696487,118765482,156793407,42891649,0,508139265,1955,104372.63,131877,12917.33,0,0,67377,1975/12/12,
(주)DB하이텍,000990,2019/12,181155872,807416423,121159865,645305205,13490314,3352976,0,160796839,44511167,1089400761,84227309,219572033,51837841,0,444095557,1979,160488.29,143826,10136.34,0,0,80259,1975/12/12,
(주)DB하이텍,000990,2020/12,239188805,935919766,165657642,795236817,6504852,1934089,0,310467238,44511167,1179256936,47731454,261727435,51848770,0,384020119,2012,209287.3,156528,4569.76,0,0,112121,1975/12/12,
(주)ES큐브,050120,2011/12,-2080143,41700477,-2933429,39144414,14570,419900,27468,1625293,23243905,45233434,1507599,4839823,383848,0,6089019,237,-2933.43,9811.54,-432.8,551.56,266.69,3182.02,2002/04/25,
