회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결),당기순이익(손실)(IFRS연결)
(주)CMG제약,058820,2011/12,17751704,640283,-1508282
(주)CMG제약,058820,2012/12,16255389,-4205503,-6660149
(주)CMG제약,058820,2013/12,20402140,791250,296181
(주)CMG제약,058820,2014/12,22752584,442322,158039
(주)CMG제약,058820,2015/12,27041894,-2572168,-3650091
(주)CMG제약,058820,2016/12,32969825,1730753,1727895
(주)CMG제약,058820,2017/12,41535588,1558607,2834901
(주)CMG제약,058820,2018/12,49864782,2567820,6065026
(주)CMG제약,058820,2019/12,58622681,2603774,3051177
(주)CMG제약,058820,2020/12,,,
(주)DB하이텍,000990,2011/12,552216245,-43150444,-97946584
(주)DB하이텍,000990,2012/12,590786488,-15621631,-31341318
(주)DB하이텍,000990,2013/12,493752028,-9610612,-83046768
(주)DB하이텍,000990,2014/12,567718224,45560248,-77008844
(주)DB하이텍,000990,2015/12,666594987,124968815,126733352
(주)DB하이텍,000990,2016/12,773140180,172427930,88344018
(주)DB하이텍,000990,2017/12,679737744,143195168,110175089
(주)DB하이텍,000990,2018/12,669279136,112993143,86828768
(주)DB하이텍,000990,2019/12,807416423,181292188,104637012
(주)DB하이텍,000990,2020/12,935919766,239335181,166025591
(주)ES큐브,050120,2011/12,53379952,-3650245,-4796438
(주)ES큐브,050120,2012/12,55971147,89337,-359216
(주)ES큐브,050120,2013/12,58597361,-1164611,-16455910
(주)ES큐브,050120,2014/12,44459581,171090,-615409
(주)ES큐브,050120,2015/12,42152967,-4060426,-2307159
(주)ES큐브,050120,2016/12,34289385,2161041,21541047
(주)ES큐브,050120,2017/12,35745794,2248520,1737925
(주)ES큐브,050120,2018/12,33763508,-1211129,-6121462
(주)ES큐브,050120,2019/12,43708239,-2617071,-13767748
(주)ES큐브,050120,2020/12,80672425,10315988,-25292140
(주)HJ중공업,097230,2011/12,2891499000,107974000,-96920000
(주)HJ중공업,097230,2012/12,2549319000,52914000,-53214000
