회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원),상장일,상장폐지일
(주)CMG제약,058820,2011/12,27305198,18034249,640283,-1508282,17751704,2001/08/31,
(주)CMG제약,058820,2012/12,57108035,31590685,-4205503,-6660149,16255389,2001/08/31,
(주)CMG제약,058820,2013/12,55912563,48997281,791250,296181,20402140,2001/08/31,
(주)CMG제약,058820,2014/12,58068326,49002644,442322,158039,22752584,2001/08/31,
(주)CMG제약,058820,2015/12,56532821,46806888,-2572168,-3650091,27041894,2001/08/31,
(주)CMG제약,058820,2016/12,110979867,101107635,1730753,1727895,32969825,2001/08/31,
(주)CMG제약,058820,2017/12,109568153,97944019,1558607,2834901,41535588,2001/08/31,
(주)CMG제약,058820,2018/12,114379880,103981846,2567820,6065026,49864782,2001/08/31,
(주)CMG제약,058820,2019/12,192243166,180158283,2603774,3051177,58622681,2001/08/31,
(주)CMG제약,058820,2020/12,,,,,,2001/08/31,
(주)DB하이텍,000990,2011/12,1199043869,308061688,-43150444,-97946584,552216245,1975/12/12,
(주)DB하이텍,000990,2012/12,1157755031,290893335,-15621631,-31341318,590786488,1975/12/12,
(주)DB하이텍,000990,2013/12,1058391832,204756748,-9610612,-83046768,493752028,1975/12/12,
(주)DB하이텍,000990,2014/12,984876636,120702734,45560248,-77008844,567718224,1975/12/12,
(주)DB하이텍,000990,2015/12,984643712,254057491,124968815,126733352,666594987,1975/12/12,
(주)DB하이텍,000990,2016/12,986788572,341917315,172427930,88344018,773140180,1975/12/12,
(주)DB하이텍,000990,2017/12,993950720,455797946,143195168,110175089,679737744,1975/12/12,
(주)DB하이텍,000990,2018/12,1066533840,558391531,112993143,86828768,669279136,1975/12/12,
(주)DB하이텍,000990,2019/12,1088889810,644650730,181292188,104637012,807416423,1975/12/12,
(주)DB하이텍,000990,2020/12,1178581197,794584513,239335181,166025591,935919766,1975/12/12,
(주)ES큐브,050120,2011/12,55477032,39245830,-3650245,-4796438,53379952,2002/04/25,
(주)ES큐브,050120,2012/12,46281660,39859681,89337,-359216,55971147,2002/04/25,
(주)ES큐브,050120,2013/12,47137573,42372440,-1164611,-16455910,58597361,2002/04/25,
(주)ES큐브,050120,2014/12,56611836,49628091,171090,-615409,44459581,2002/04/25,
(주)ES큐브,050120,2015/12,55620280,49654460,-4060426,-2307159,42152967,2002/04/25,
(주)ES큐브,050120,2016/12,105164626,71696122,2161041,21541047,34289385,2002/04/25,
(주)ES큐브,050120,2017/12,105892131,72816880,2248520,1737925,35745794,2002/04/25,
(주)ES큐브,050120,2018/12,112430896,70748607,-1211129,-6121462,33763508,2002/04/25,
(주)ES큐브,050120,2019/12,463958680,74038512,-2617071,-13767748,43708239,2002/04/25,
(주)ES큐브,050120,2020/12,714889745,69497819,10315988,-25292140,80672425,2002/04/25,
(주)HJ중공업,097230,2011/12,7036680000,1866848000,107974000,-96920000,2891499000,2007/08/31,
(주)HJ중공업,097230,2012/12,6585093000,1715516000,52914000,-53214000,2549319000,2007/08/31,
(주)HJ중공업,097230,2013/12,6683379000,1638998000,-69574000,-190193000,2529341000,2007/08/31,
(주)HJ중공업,097230,2014/12,6470284000,1573076000,-144988000,-299811000,2520325000,2007/08/31,
(주)HJ중공업,097230,2015/12,5914637000,1368589000,-79370000,-260925000,3115473000,2007/08/31,
(주)HJ중공업,097230,2016/12,5256464000,895183000,-79319000,-334446000,2813271000,2007/08/31,
(주)HJ중공업,097230,2017/12,4206655000,577198000,-116693000,-277978000,2452314000,2007/08/31,
(주)HJ중공업,097230,2018/12,2733620000,-708186000,61676000,-1283647000,1697869000,2007/08/31,
(주)HJ중공업,097230,2019/12,2470222000,244994000,83839000,306169000,1628751000,2007/08/31,
(주)HJ중공업,097230,2020/12,2193855000,320003000,51629000,78346000,1695815000,2007/08/31,
(주)MH에탄올,023150,2011/12,134206851,42667338,603258,-4357312,44785159,1996/12/24,
(주)MH에탄올,023150,2012/12,134385813,39678259,5451733,287369,59768175,1996/12/24,
(주)MH에탄올,023150,2013/12,129697936,45885523,3009741,7028234,62199887,1996/12/24,
(주)MH에탄올,023150,2014/12,85534839,52788681,8744851,-203193,48983781,1996/12/24,
(주)MH에탄올,023150,2015/12,78996052,57884347,11092013,7778593,50386203,1996/12/24,
(주)MH에탄올,023150,2016/12,72339673,63581883,11874476,8144684,48897025,1996/12/24,
(주)MH에탄올,023150,2017/12,500180086,106837344,8116711,4308068,51977132,1996/12/24,
(주)MH에탄올,023150,2018/12,440177523,91585473,1228204,-12033428,72795863,1996/12/24,
(주)MH에탄올,023150,2019/12,451474451,79389077,7829103,-7552043,80879342,1996/12/24,
(주)MH에탄올,023150,2020/12,449679366,80425495,15781923,3802823,94645239,1996/12/24,
(주)SH에너지화학,002360,2011/12,104710740,65242326,4165988,1800972,173209351,1985/12/23,
(주)SH에너지화학,002360,2012/12,103690070,64881202,2183184,210854,193950102,1985/12/23,
(주)SH에너지화학,002360,2013/12,110488951,69599141,6424227,4606872,231912218,1985/12/23,
(주)SH에너지화학,002360,2014/12,110741407,84237197,21271907,16733050,230912587,1985/12/23,
(주)SH에너지화학,002360,2015/12,115520726,91646221,22950175,12590617,216441364,1985/12/23,
(주)SH에너지화학,002360,2016/12,124488724,104088887,24101160,18028878,218397677,1985/12/23,
(주)SH에너지화학,002360,2017/12,125312154,107693472,14181936,9879057,188114822,1985/12/23,
(주)SH에너지화학,002360,2018/12,122434685,105390892,2100669,2033570,183598766,1985/12/23,
