회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS연결),매출액(수익)(*)(IFRS연결),당기순이익(손실)(IFRS연결),자본(*)(IFRS연결),이자비용(IFRS연결),이자수익(IFRS연결),배당금수익(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),* 발행한 주식총수(*)(IFRS연결),자산(*)(IFRS연결),현금및현금성자산(*)(IFRS연결),유동부채(*)(IFRS연결),재고자산(*)(IFRS연결),유동자산(*)(IFRS연결),부채(*)(IFRS연결),합계_기말인원,법인세비용차감전(계속사업)손익(IFRS연결),인건비(IFRS연결),금융비용(IFRS연결),임차료(IFRS연결),세금과공과(IFRS연결),감가상각비(IFRS연결),상장일,상장폐지일
(주)CMG제약,058820,2011/12,640283,17751704,-1508282,18034249,181404,39831,0,-2560438,43693200,27305198,1152489,7633673,2743103,15341167,9270949,135,-1508.28,3118.67,141.57,376.12,0,1344.09,2001/08/31,
(주)CMG제약,058820,2012/12,-4205503,16255389,-6660149,31590685,542880,131363,0,-1572581,66025540,57108035,4674359,6793095,2955172,47109213,25517350,134,-6660.15,4712.51,411.52,401.09,0,1404.34,2001/08/31,
(주)CMG제약,058820,2013/12,791250,20402140,296181,48997281,1134104,796706,0,-3939013,86626866,55912563,21705184,5500075,4618718,38209699,6915281,136,311.19,4986.26,337.4,243.9,0,1116.14,2001/08/31,
(주)CMG제약,058820,2014/12,442322,22752584,158039,49002644,122840,270164,0,724893,86626866,58068326,8827046,8719202,4913103,28300941,9065682,164,158.04,5599.85,-147.32,215.13,0,1464.84,2001/08/31,
(주)CMG제약,058820,2015/12,-2572168,27041894,-3650091,46806888,79830,109662,0,2410205,88297244,56532821,2566167,8849994,5455617,26271614,9725933,156,-3650.09,6218.5,-29.83,195.67,0,1890.05,2001/08/31,
(주)CMG제약,058820,2016/12,1730753,32969825,1727895,101107635,0,153681,0,3321352,108707244,110979867,2148521,9136755,6393756,78772201,9872232,160,1642.24,6682.92,-153.68,293.08,0,2100.67,2001/08/31,
(주)CMG제약,058820,2017/12,1558607,41535588,2834901,97944019,0,1129441,0,1948086,108887244,109568153,3799004,10884321,7904518,81227330,11624134,200,2870.32,8786.99,-1129.44,543.32,0,1854.79,2001/08/31,
(주)CMG제약,058820,2018/12,2567820,49864782,6065026,103981846,0,502121,0,886779,108887244,114379880,13464430,8495060,8572582,81370415,10398033,222,3655.6,11342.93,-502.12,505.13,0,1846.11,2001/08/31,
(주)CMG제약,058820,2019/12,2603774,58622681,3051177,180158283,8593,1099682,0,2823387,138892244,192243166,18579821,9306387,9048933,150584066,12084883,241,3836.61,13817.61,-1091.09,477.47,0,2105.69,2001/08/31,
(주)CMG제약,058820,2020/12,,,,,,,,,,,,,,,,237,,,,,,,2001/08/31,
(주)DB하이텍,000990,2011/12,-43150444,552216245,-97946584,308061688,57547249,5642704,0,60749180,42923284,1199043869,40025028,794704783,77112663,279725559,890982181,2567,-93006.98,136223,51904.55,0,0,122718,1975/12/12,
(주)DB하이텍,000990,2012/12,-15621631,590786488,-31341318,290893335,50196743,4084735,0,73876619,44511167,1157755031,39917597,555433290,79262392,309144147,866861695,2304,-48770.77,137384,46112.01,0,0,110930.46,1975/12/12,
(주)DB하이텍,000990,2013/12,-9610612,493752028,-83046768,204756748,59545366,2914190,0,28380938,44511167,1058391832,35222233,476867874,72377687,222960700,853635085,2142,-81381.69,128629,56621.18,0,0,87686,1975/12/12,
(주)DB하이텍,000990,2014/12,45560248,567718224,-77008844,120702734,67650856,1900522,0,48078139,44511167,984876636,40369011,376436760,69179569,247582371,864173902,1999,-88969.82,128497,65745.33,0,0,82069,1975/12/12,
(주)DB하이텍,000990,2015/12,124968815,666594987,126733352,254057491,50040000,1335827,0,152722221,44511167,984643712,108132861,244044785,83459568,337757266,730586221,2004,115824.13,138722,48703.17,0,0,82878,1975/12/12,
(주)DB하이텍,000990,2016/12,172427930,773140180,88344018,341917315,39113564,1651000,0,248312191,44511167,986788572,115579823,274231115,76344778,368924211,644871257,2047,85493.54,138765,37461.56,0,0,79329,1975/12/12,
(주)DB하이텍,000990,2017/12,143195168,679737744,110175089,455797946,23682439,1966000,0,183124083,44511167,993950720,107494652,145225195,75018890,353662841,538152775,1940,104961.6,132417,21715.44,0,0,70294,1975/12/12,
(주)DB하이텍,000990,2018/12,112993143,669279136,86828768,558391531,16701486,3784234,0,180343534,44511167,1066533840,119106293,156796450,42891649,383378937,508142309,1955,96114,132673,12916.25,0,0,67381,1975/12/12,
(주)DB하이텍,000990,2019/12,181292188,807416423,104637012,644650730,13490314,3419258,0,161078351,44511167,1088889810,84776807,219715556,51837841,426263421,444239080,1979,143965.44,144912,10070.06,0,0,80265,1975/12/12,
(주)DB하이텍,000990,2020/12,239335181,935919766,166025591,794584513,6504852,2020767,0,309982630,44511167,1178581197,48293560,261704001,51848770,459208127,383996685,2012,209655.25,157692,4483.09,0,0,112126,1975/12/12,
(주)ES큐브,050120,2011/12,-3650245,53379952,-4796438,39245830,14839,509805,27468,1107724,23243905,55477032,3160449,14801430,5312339,34078195,16231202,237,-4596.12,14476.82,-522.43,1088.34,391.01,4185.32,2002/04/25,
(주)ES큐브,050120,2012/12,89337,55971147,-359216,39859681,51946,356510,61800,5224759,23393158,46281660,4071828,4802996,4844206,22707006,6421979,236,-111.95,15492.37,-366.36,1144.37,296.94,5342.89,2002/04/25,
(주)ES큐브,050120,2013/12,-1164611,58597361,-16455910,42372440,31106,322721,13263,2590980,36493326,47137573,10119258,3630549,6264936,38357211,4765132,100,-16158.72,15101.11,-304.88,995.63,478.73,4241.43,2002/04/25,
(주)ES큐브,050120,2014/12,171090,44459581,-615409,49628091,7707,630998,14250,2889415,36493326,56611836,25536887,6002775,6084161,46214758,6983745,27,-332.72,4775.85,-637.54,436.64,0,1784.29,2002/04/25,
(주)ES큐브,050120,2015/12,-4060426,42152967,-2307159,49654460,342236,529197,39960,-2778236,36493326,55620280,26509578,5378364,6783417,41180599,5965820,39,-2069.61,5261.84,-226.92,447.72,0,941.14,2002/04/25,
(주)ES큐브,050120,2016/12,2161041,34289385,21541047,71696122,240742,448295,1735,1240854,41621527,105164626,31283393,3406254,7447857,50885945,33468504,30,21717.37,4346.67,-209.29,324.72,0,651.13,2002/04/25,
(주)ES큐브,050120,2017/12,2248520,35745794,1737925,72816880,785009,420111,3086,2310978,83243054,105892131,24250014,3702478,8346570,51038158,33075251,35,1813.29,4158.1,361.81,198.49,0,1150.35,2002/04/25,
(주)ES큐브,050120,2018/12,-1211129,33763508,-6121462,70748607,1483631,711299,0,-1347532,83243054,112430896,26730206,37613190,9236879,45061626,41682289,30,-6069.56,4547.17,772.33,214.3,0,1871.03,2002/04/25,
(주)ES큐브,050120,2019/12,-2617071,43708239,-13767748,74038512,3824474,654074,0,75624795,83088255,463958680,111347468,230135454,7648032,359030693,389920168,30,-15380.59,5313.1,3170.4,727.6,0,1697.11,2002/04/25,
(주)ES큐브,050120,2020/12,10315988,80672425,-25292140,69497819,3334795,63877,0,-37420433,135640864,714889745,11045332,523911459,9415254,322209018,645391926,24,-22810.67,8012.05,3270.92,1098.02,0,1641.63,2002/04/25,
(주)HJ중공업,097230,2011/12,107974000,2891499000,-96920000,1866848000,197618000,26470000,0,-401788000,48288465,7036680000,854074000,2482598000,360584000,2391530000,5169832000,2785,-81762,203264,171148,55467,33450,112451,2007/08/31,
(주)HJ중공업,097230,2012/12,52914000,2549319000,-53214000,1715516000,193230000,18446000,0,-84391000,48288465,6585093000,731662000,2448324000,223809000,2274211000,4869577000,2634,-43042,213333,174784,58026,30092,110692,2007/08/31,
(주)HJ중공업,097230,2013/12,-69574000,2529341000,-190193000,1638998000,175374000,10980000,0,-321347000,69288465,6683379000,590556000,3284862000,601781000,2788908000,5044381000,2758,-257139,279734,157083,45626,27448,105292,2007/08/31,
(주)HJ중공업,097230,2014/12,-144988000,2520325000,-299811000,1573076000,164876000,8690000,0,-238336000,102288465,6470284000,350490000,2843001000,655829000,2647534000,4897208000,2544,-319669,280340,154517,42307,35824,98046,2007/08/31,
(주)HJ중공업,097230,2015/12,-79370000,3115473000,-260925000,1368589000,158440000,9612000,0,257547000,102288465,5914637000,163004000,3430218000,873978000,2429499000,4546048000,2632,-317241,283054,146576,52543,26448,101407,2007/08/31,
(주)HJ중공업,097230,2016/12,-79319000,2813271000,-334446000,895183000,135764000,9399000,0,-36763000,106052508,5256464000,138821000,2636927000,675011000,2372221000,4361281000,2473,-338330,281156,124253,51377,21183,81634,2007/08/31,
(주)HJ중공업,097230,2017/12,-116693000,2452314000,-277978000,577198000,107855000,5780000,0,385461000,106052508,4206655000,145442000,3329421000,709533000,1894161000,3629457000,2493,-276333,205593,99335,36130,21365,85674,2007/08/31,
(주)HJ중공업,097230,2018/12,61676000,1697869000,-1283647000,-708186000,100013000,6449000,0,420195000,106052508,2733620000,229003000,2140149000,519198000,1720906000,3441806000,2271,-8407,181945,90476,26996,15950,0,2007/08/31,
(주)HJ중공업,097230,2019/12,83839000,1628751000,306169000,244994000,121331000,6791000,0,155934000,83274281,2470222000,122434000,1845223000,363759000,1300538000,2225228000,2016,-22227,172176,104388,18095,39467,21286,2007/08/31,
(주)HJ중공업,097230,2020/12,51629000,1695815000,78346000,320003000,57798000,6628000,0,264454000,83274281,2193855000,213893000,1034561000,167158000,1067516000,1873852000,1944,12884,163168,50214,27414,18977,19818,2007/08/31,
(주)MH에탄올,023150,2011/12,603258,44785159,-4357312,42667338,5135026,984628,197400,178820,7000000,134206851,4086479,78266518,9734817,45677724,91539513,51,-3195.13,4441,3953,0,0,3614.59,1996/12/24,
(주)MH에탄올,023150,2012/12,5451733,59768175,287369,39678259,5045503,554057,0,-4906202,7000000,134385813,597206,81625166,20566965,50009828,94707555,52,1036.47,5785.63,4491.45,0,521.4,3529.45,1996/12/24,
(주)MH에탄올,023150,2013/12,3009741,62199887,7028234,45885523,3449237,296404,0,6114050,7000000,129697936,108868,75260635,12486229,43178092,83812413,51,708.93,5227.8,3152.83,0,478.82,3481.71,1996/12/24,
