회사명,거래소코드,회계년도,자산(*)(IFRS),자본(*)(IFRS)
(주)CMG제약,058820,2011/12,27548539,18290915
(주)CMG제약,058820,2012/12,56988604,31602540
(주)CMG제약,058820,2013/12,55961620,49048213
(주)CMG제약,058820,2014/12,58127098,49067039
(주)CMG제약,058820,2015/12,56591972,46872705
(주)CMG제약,058820,2016/12,110979867,101107635
(주)CMG제약,058820,2017/12,109568153,97944019
(주)CMG제약,058820,2018/12,114379880,103981846
(주)CMG제약,058820,2019/12,192243166,180158283
(주)CMG제약,058820,2020/12,195355583,181131004
(주)DB하이텍,000990,2011/12,1183957429,291709498
(주)DB하이텍,000990,2012/12,1149069244,274553219
(주)DB하이텍,000990,2013/12,1049494642,197287466
(주)DB하이텍,000990,2014/12,1001959816,136104062
(주)DB하이텍,000990,2015/12,1005673854,277662952
(주)DB하이텍,000990,2016/12,1006370876,364450453
(주)DB하이텍,000990,2017/12,977575054,441546809
(주)DB하이텍,000990,2018/12,1050696487,542557222
(주)DB하이텍,000990,2019/12,1089400761,645305205
(주)DB하이텍,000990,2020/12,1179256936,795236817
(주)ES큐브,050120,2011/12,45233434,39144414
(주)ES큐브,050120,2012/12,44676182,39881477
(주)ES큐브,050120,2013/12,47509654,43712820
(주)ES큐브,050120,2014/12,44914173,41226335
(주)ES큐브,050120,2015/12,47123684,44872641
(주)ES큐브,050120,2016/12,104459992,69832373
(주)ES큐브,050120,2017/12,104850192,71398467
(주)ES큐브,050120,2018/12,108481764,66518631
(주)ES큐브,050120,2019/12,136065488,53986331
(주)ES큐브,050120,2020/12,81995388,72949614
(주)HJ중공업,097230,2011/12,5857119000,1874877000
(주)HJ중공업,097230,2012/12,5938108000,1863529000
(주)HJ중공업,097230,2013/12,5839633000,1804609000
(주)HJ중공업,097230,2014/12,5469810000,1761886000
(주)HJ중공업,097230,2015/12,4638381000,1377529000
(주)HJ중공업,097230,2016/12,3921561000,904150000
(주)HJ중공업,097230,2017/12,3312303000,563410000
(주)HJ중공업,097230,2018/12,2388369000,-398930000
(주)HJ중공업,097230,2019/12,2465650000,247272000
(주)HJ중공업,097230,2020/12,2189125000,320418000
(주)MH에탄올,023150,2011/12,135927085,56161251
(주)MH에탄올,023150,2012/12,139200817,58712944
(주)MH에탄올,023150,2013/12,122520742,47119925
(주)MH에탄올,023150,2014/12,85253876,52507884
(주)MH에탄올,023150,2015/12,78691328,57569789
(주)MH에탄올,023150,2016/12,72025138,63257513
