회사명,거래소코드,회계년도,자산(*)(IFRS연결),자본(*)(IFRS연결)
(주)CMG제약,058820,2011/12,27305198,18034249
(주)CMG제약,058820,2012/12,57108035,31590685
(주)CMG제약,058820,2013/12,55912563,48997281
(주)CMG제약,058820,2014/12,58068326,49002644
(주)CMG제약,058820,2015/12,56532821,46806888
(주)CMG제약,058820,2016/12,110979867,101107635
(주)CMG제약,058820,2017/12,109568153,97944019
(주)CMG제약,058820,2018/12,114379880,103981846
(주)CMG제약,058820,2019/12,192243166,180158283
(주)CMG제약,058820,2020/12,,
(주)DB하이텍,000990,2011/12,1199043869,308061688
(주)DB하이텍,000990,2012/12,1157755031,290893335
(주)DB하이텍,000990,2013/12,1058391832,204756748
(주)DB하이텍,000990,2014/12,984876636,120702734
(주)DB하이텍,000990,2015/12,984643712,254057491
(주)DB하이텍,000990,2016/12,986788572,341917315
(주)DB하이텍,000990,2017/12,993950720,455797946
(주)DB하이텍,000990,2018/12,1066533840,558391531
(주)DB하이텍,000990,2019/12,1088889810,644650730
(주)DB하이텍,000990,2020/12,1178581197,794584513
(주)ES큐브,050120,2011/12,55477032,39245830
(주)ES큐브,050120,2012/12,46281660,39859681
(주)ES큐브,050120,2013/12,47137573,42372440
(주)ES큐브,050120,2014/12,56611836,49628091
(주)ES큐브,050120,2015/12,55620280,49654460
(주)ES큐브,050120,2016/12,105164626,71696122
(주)ES큐브,050120,2017/12,105892131,72816880
(주)ES큐브,050120,2018/12,112430896,70748607
(주)ES큐브,050120,2019/12,463958680,74038512
(주)ES큐브,050120,2020/12,714889745,69497819
(주)HJ중공업,097230,2011/12,7036680000,1866848000
(주)HJ중공업,097230,2012/12,6585093000,1715516000
(주)HJ중공업,097230,2013/12,6683379000,1638998000
(주)HJ중공업,097230,2014/12,6470284000,1573076000
(주)HJ중공업,097230,2015/12,5914637000,1368589000
(주)HJ중공업,097230,2016/12,5256464000,895183000
(주)HJ중공업,097230,2017/12,4206655000,577198000
(주)HJ중공업,097230,2018/12,2733620000,-708186000
(주)HJ중공업,097230,2019/12,2470222000,244994000
(주)HJ중공업,097230,2020/12,2193855000,320003000
(주)MH에탄올,023150,2011/12,134206851,42667338
(주)MH에탄올,023150,2012/12,134385813,39678259
(주)MH에탄올,023150,2013/12,129697936,45885523
(주)MH에탄올,023150,2014/12,85534839,52788681
(주)MH에탄올,023150,2015/12,78996052,57884347
(주)MH에탄올,023150,2016/12,72339673,63581883
(주)MH에탄올,023150,2017/12,500180086,106837344
(주)MH에탄올,023150,2018/12,440177523,91585473
(주)MH에탄올,023150,2019/12,451474451,79389077
(주)MH에탄올,023150,2020/12,449679366,80425495
(주)SH에너지화학,002360,2011/12,104710740,65242326
(주)SH에너지화학,002360,2012/12,103690070,64881202
(주)SH에너지화학,002360,2013/12,110488951,69599141
(주)SH에너지화학,002360,2014/12,110741407,84237197
(주)SH에너지화학,002360,2015/12,115520726,91646221
(주)SH에너지화학,002360,2016/12,124488724,104088887
(주)SH에너지화학,002360,2017/12,125312154,107693472
(주)SH에너지화학,002360,2018/12,122434685,105390892
(주)SH에너지화학,002360,2019/12,123415832,98999976
(주)SH에너지화학,002360,2020/12,117356594,90008391
(주)SIMPAC,009160,2011/12,310879328,168941269
(주)SIMPAC,009160,2012/12,318665505,187860952
(주)SIMPAC,009160,2013/12,361985890,208831047
(주)SIMPAC,009160,2014/12,381939281,219125252
(주)SIMPAC,009160,2015/12,422833445,232007841
(주)SIMPAC,009160,2016/12,417865468,240416530
(주)SIMPAC,009160,2017/12,381158251,240826100
(주)SIMPAC,009160,2018/12,681750819,435032869
(주)SIMPAC,009160,2019/12,679145850,441195485
(주)SIMPAC,009160,2020/12,737277692,463986165
(주)SNT에너지,100840,2011/12,,
(주)SNT에너지,100840,2012/12,,
(주)SNT에너지,100840,2013/12,,
(주)SNT에너지,100840,2014/12,,
(주)SNT에너지,100840,2015/12,,
(주)SNT에너지,100840,2016/12,,
(주)SNT에너지,100840,2017/12,,
(주)SNT에너지,100840,2018/12,,
(주)SNT에너지,100840,2019/12,333897235,244954910
(주)SNT에너지,100840,2020/12,335351657,235772710
(주)SNT홀딩스,036530,2011/12,2124828265,1311007481
(주)SNT홀딩스,036530,2012/12,2074903906,1318022867
(주)SNT홀딩스,036530,2013/12,2149176237,1374365240
(주)SNT홀딩스,036530,2014/12,2039388864,1356040938
(주)SNT홀딩스,036530,2015/12,2169311305,1529249091
(주)SNT홀딩스,036530,2016/12,2210178425,1530892611
(주)SNT홀딩스,036530,2017/12,2146174938,1519293154
(주)SNT홀딩스,036530,2018/12,2113834573,1503275496
(주)SNT홀딩스,036530,2019/12,2236679025,1625933047
(주)SNT홀딩스,036530,2020/12,2270485740,1617529065
(주)STX,011810,2011/12,5234175000,1915942000
(주)STX,011810,2012/12,5067029000,1506639000
(주)STX,011810,2013/12,1342520000,-509663000
(주)STX,011810,2014/12,1255002000,93662000
(주)STX,011810,2015/12,1267224000,72342000
(주)STX,011810,2016/12,707709000,-330596000
(주)STX,011810,2017/12,627542000,42560000
(주)STX,011810,2018/12,554061000,64028000
(주)STX,011810,2019/12,560107000,56291000
(주)STX,011810,2020/12,617563000,81729000
(주)TCC스틸,002710,2011/12,454329510,225441968
(주)TCC스틸,002710,2012/12,547013976,225998781
(주)TCC스틸,002710,2013/12,543708595,205738102
(주)TCC스틸,002710,2014/12,551000563,189038004
(주)TCC스틸,002710,2015/12,376394571,86012476
(주)TCC스틸,002710,2016/12,282914735,103337634
(주)TCC스틸,002710,2017/12,278692540,100915803
(주)TCC스틸,002710,2018/12,304781579,112246210
(주)TCC스틸,002710,2019/12,314210087,116843135
(주)TCC스틸,002710,2020/12,306758932,121130879
(주)가비아,079940,2011/12,64954440,48665742
(주)가비아,079940,2012/12,85244515,58945247
(주)가비아,079940,2013/12,91231294,68600227
(주)가비아,079940,2014/12,98544072,75509702
(주)가비아,079940,2015/12,105081568,84096148
(주)가비아,079940,2016/12,125796754,95951841
(주)가비아,079940,2017/12,133382584,99896520
(주)가비아,079940,2018/12,151440505,114187490
(주)가비아,079940,2019/12,199916131,134959139
(주)가비아,079940,2020/12,260025259,173203629
(주)가온칩스,399720,2018/12,,
(주)가온칩스,399720,2019/12,,
(주)가온칩스,399720,2020/12,,
(주)강스템바이오텍,217730,2013/12,,
(주)강스템바이오텍,217730,2014/12,,
(주)강스템바이오텍,217730,2015/12,,
(주)강스템바이오텍,217730,2016/12,,
(주)강스템바이오텍,217730,2017/12,47198979,24482163
(주)강스템바이오텍,217730,2018/12,73194018,47581374
(주)강스템바이오텍,217730,2019/12,113643697,68719236
(주)강스템바이오텍,217730,2020/12,82505287,48638871
(주)강원랜드,035250,2011/12,2711401782,2257362696
(주)강원랜드,035250,2012/12,2906655321,2372026990
(주)강원랜드,035250,2013/12,3102036846,2517696496
(주)강원랜드,035250,2014/12,3375127289,2705357485
(주)강원랜드,035250,2015/12,3690791830,2997755205
(주)강원랜드,035250,2016/12,3978987574,3252727459
(주)강원랜드,035250,2017/12,4185657487,3501235933
(주)강원랜드,035250,2018/12,4231241354,3586777089
(주)강원랜드,035250,2019/12,4438119306,3717759076
(주)강원랜드,035250,2020/12,3641632201,3247028580
(주)강원에너지,114190,2011/11,,
(주)강원에너지,114190,2012/12,,
(주)강원에너지,114190,2013/12,,
(주)강원에너지,114190,2014/12,,
(주)강원에너지,114190,2015/12,85457457,56583901
(주)강원에너지,114190,2016/12,77186606,55088690
(주)강원에너지,114190,2017/12,93179394,48303010
(주)강원에너지,114190,2018/12,93845576,50203707
(주)강원에너지,114190,2019/12,56602063,21124556
(주)강원에너지,114190,2020/12,32968636,17096338
(주)갤럭시아에스엠,011420,2011/12,45110356,25274017
(주)갤럭시아에스엠,011420,2012/12,43979072,25907252
(주)갤럭시아에스엠,011420,2013/12,37636664,21493102
(주)갤럭시아에스엠,011420,2014/12,45274078,23205508
(주)갤럭시아에스엠,011420,2015/12,68686992,49739042
(주)갤럭시아에스엠,011420,2016/12,58444606,44846832
(주)갤럭시아에스엠,011420,2017/12,49831109,40494336
(주)갤럭시아에스엠,011420,2018/12,33253331,26472162
(주)갤럭시아에스엠,011420,2019/12,28241598,21798750
(주)갤럭시아에스엠,011420,2020/12,,
(주)경농,002100,2011/12,173774102,142986220
(주)경농,002100,2012/12,269412832,151738994
(주)경농,002100,2013/12,255984725,163157512
(주)경농,002100,2014/12,284623063,168915900
(주)경농,002100,2015/12,316341853,174667648
(주)경농,002100,2016/12,320915151,183969132
(주)경농,002100,2017/12,335873898,192152986
(주)경농,002100,2018/12,357260541,201453891
(주)경농,002100,2019/12,370874091,201885272
(주)경농,002100,2020/12,371525656,211372233
(주)경동나비엔,009450,2011/12,263211016,168114574
(주)경동나비엔,009450,2012/12,299729837,175875394
(주)경동나비엔,009450,2013/12,354779867,187280988
(주)경동나비엔,009450,2014/12,401658957,190021880
(주)경동나비엔,009450,2015/12,402084368,206076609
(주)경동나비엔,009450,2016/12,429754702,238762190
(주)경동나비엔,009450,2017/12,503697210,256506497
(주)경동나비엔,009450,2018/12,583595818,280103616
(주)경동나비엔,009450,2019/12,609808343,301042624
(주)경동나비엔,009450,2020/12,734688738,348163846
(주)경동도시가스,267290,2017/12,710280194,294331882
(주)경동도시가스,267290,2018/12,778269612,320490074
(주)경동도시가스,267290,2019/12,749999474,339612043
(주)경동도시가스,267290,2020/12,699658165,356677691
(주)경동인베스트,012320,2011/12,1001490869,407862543
(주)경동인베스트,012320,2012/12,1209924561,446509347
(주)경동인베스트,012320,2013/12,1205008353,498740561
(주)경동인베스트,012320,2014/12,1320789066,607451423
(주)경동인베스트,012320,2015/12,1167819522,576479441
(주)경동인베스트,012320,2016/12,1126122628,587924566
(주)경동인베스트,012320,2017/12,599276331,400403090
(주)경동인베스트,012320,2018/12,592002536,397867310
(주)경동인베스트,012320,2019/12,605467383,414533638
(주)경동인베스트,012320,2020/12,589277835,430745334
(주)경방,000050,2011/12,1352324332,629704391
(주)경방,000050,2012/12,1335039930,620704205
(주)경방,000050,2013/12,1296989142,636438555
(주)경방,000050,2014/12,1301841379,647668814
(주)경방,000050,2015/12,1318643312,662952918
(주)경방,000050,2016/12,1301910960,679843399
(주)경방,000050,2017/12,1274042237,699134073
(주)경방,000050,2018/12,1301792841,708769347
(주)경방,000050,2019/12,1370742491,741553199
(주)경방,000050,2020/12,1264902051,741929808
(주)경보제약,214390,2011/12,,
(주)경보제약,214390,2012/12,,
(주)경보제약,214390,2013/12,,
(주)경보제약,214390,2014/12,,
(주)경보제약,214390,2015/12,,
(주)경보제약,214390,2016/12,,
(주)경보제약,214390,2017/12,,
(주)경보제약,214390,2018/12,,
(주)경보제약,214390,2019/12,,
(주)경보제약,214390,2020/12,,
(주)경인양행,012610,2011/12,319596954,176292506
(주)경인양행,012610,2012/12,287452678,174988685
(주)경인양행,012610,2013/12,316944796,189744314
(주)경인양행,012610,2014/12,313039125,198238667
(주)경인양행,012610,2015/12,326687437,201125304
(주)경인양행,012610,2016/12,344298515,208293196
(주)경인양행,012610,2017/12,357951470,210934933
(주)경인양행,012610,2018/12,412996589,223759383
(주)경인양행,012610,2019/12,472081003,237433141
(주)경인양행,012610,2020/12,505102151,228381756
(주)고려시멘트,198440,2014/12,,
(주)고려시멘트,198440,2015/12,,
(주)고려시멘트,198440,2016/12,,
(주)고려시멘트,198440,2017/12,,
(주)고려시멘트,198440,2018/12,,
(주)고려시멘트,198440,2019/12,,
(주)고려시멘트,198440,2020/12,,
(주)고바이오랩,348150,2019/12,35321574,-53623865
(주)고바이오랩,348150,2020/12,58537097,55390674
(주)고영테크놀러지,098460,2011/12,87006201,69622726
(주)고영테크놀러지,098460,2012/12,103351965,83401095
(주)고영테크놀러지,098460,2013/12,120951617,98319609
(주)고영테크놀러지,098460,2014/12,141720465,115835240
(주)고영테크놀러지,098460,2015/12,158857627,131475647
(주)고영테크놀러지,098460,2016/12,195121241,157267580
(주)고영테크놀러지,098460,2017/12,205207385,161317171
(주)고영테크놀러지,098460,2018/12,279059436,225866639
(주)고영테크놀러지,098460,2019/12,305481184,243668528
(주)고영테크놀러지,098460,2020/12,302574461,246058103
(주)골드앤에스,035290,2011/12,46677146,22436829
(주)골드앤에스,035290,2012/12,51950606,25517817
(주)골드앤에스,035290,2013/12,51442505,13127355
(주)골드앤에스,035290,2014/12,46528474,12082621
(주)골드앤에스,035290,2015/12,24102094,15160254
(주)골드앤에스,035290,2016/12,18671644,14268527
(주)골드앤에스,035290,2017/12,17173934,13346076
(주)골드앤에스,035290,2018/12,42472631,13779569
(주)골드앤에스,035290,2019/12,16096170,-5091573
(주)골드앤에스,035290,2020/12,20634172,14398168
(주)골드퍼시픽,038530,2011/12,,
(주)골드퍼시픽,038530,2012/12,,
(주)골드퍼시픽,038530,2013/12,33687572,16190999
(주)골드퍼시픽,038530,2014/12,41948832,16567915
(주)골드퍼시픽,038530,2015/12,28573328,21193149
(주)골드퍼시픽,038530,2016/12,,
(주)골드퍼시픽,038530,2017/12,,
(주)골드퍼시픽,038530,2018/12,37825442,20086698
(주)골드퍼시픽,038530,2019/12,,
(주)골드퍼시픽,038530,2020/12,,
(주)골프존,215000,2015/12,178132253,108853909
(주)골프존,215000,2016/12,187914226,120648626
(주)골프존,215000,2017/12,253672419,189381881
(주)골프존,215000,2018/12,254057808,194919561
(주)골프존,215000,2019/12,312587283,200042879
(주)골프존,215000,2020/12,367293667,225570692
(주)골프존뉴딘홀딩스,121440,2011/12,378054302,348968757
(주)골프존뉴딘홀딩스,121440,2012/12,540922890,411636973
(주)골프존뉴딘홀딩스,121440,2013/12,637840057,424543916
(주)골프존뉴딘홀딩스,121440,2014/12,762037240,486385956
(주)골프존뉴딘홀딩스,121440,2015/12,767325175,551360423
(주)골프존뉴딘홀딩스,121440,2016/12,760772930,528087415
(주)골프존뉴딘홀딩스,121440,2017/12,756500949,500912642
(주)골프존뉴딘홀딩스,121440,2018/12,774743339,485969871
(주)골프존뉴딘홀딩스,121440,2019/12,776384700,447197508
(주)골프존뉴딘홀딩스,121440,2020/12,795768970,469481392
(주)공구우먼,366030,2017/12,,
(주)공구우먼,366030,2018/12,,
(주)공구우먼,366030,2019/12,,
(주)공구우먼,366030,2020/12,,
(주)광림,014200,2011/12,,
(주)광림,014200,2012/12,,
(주)광림,014200,2013/12,,
(주)광림,014200,2014/12,244886480,128970849
(주)광림,014200,2015/12,,
(주)광림,014200,2016/12,229596737,113505965
(주)광림,014200,2017/12,208058303,107690687
(주)광림,014200,2018/12,187812629,90075229
(주)광림,014200,2019/12,252468254,90772137
(주)광림,014200,2020/12,212123388,81613304
(주)광명전기,017040,2011/12,123886511,62936103
(주)광명전기,017040,2012/12,131064345,62992204
