회사명,거래소코드,회계년도,상장일,상장폐지일,자산(*)(천원),자본(*)(천원),매출액(영업수익)(*)(천원),영업이익(손실)(천원),당기순이익(순손실)(천원)
(주)CMG제약,058820,2000/12,2001/08/31,,28990239,12895543,51058400,1534583,520767
(주)CMG제약,058820,2001/12,2001/08/31,,20907767,8789202,15822816,294030,110431
(주)CMG제약,058820,2002/12,2001/08/31,,15401443,6534898,26394126,-3817019,-2254749
(주)CMG제약,058820,2003/12,2001/08/31,,11063246,6433478,17389284,-914055,110249
(주)CMG제약,058820,2004/12,2001/08/31,,5179471,2560244,13083977,-2838322,-3873234
(주)CMG제약,058820,2005/12,2001/08/31,,8280291,3419499,4186236,-1994985,-2558027
(주)CMG제약,058820,2006/12,2001/08/31,,10029929,7058589,3324793,-1183380,-3410630
(주)CMG제약,058820,2007/12,2001/08/31,,22073704,20701209,1795969,-1334326,-890098
(주)CMG제약,058820,2008/12,2001/08/31,,34556966,24753170,10808242,-3785500,-4659443
(주)CMG제약,058820,2009/12,2001/08/31,,22835684,9412145,10146823,-8649578,-18176776
(주)CMG제약,058820,2010/12,2001/08/31,,24128344,17139590,11350419,-7452579,-7648552
(주)DB하이텍,000990,2000/12,1975/12/12,,805756842,289547351,811354526,50510272,13742382
(주)DB하이텍,000990,2001/12,1975/12/12,,811974426,293425792,792006056,56563731,5598242
(주)DB하이텍,000990,2002/12,1975/12/12,,857182680,299512490,742225438,52449026,16303309
(주)DB하이텍,000990,2003/12,1975/12/12,,879134604,321839500,795024394,41419055,13046817
(주)DB하이텍,000990,2004/12,1975/12/12,,976639082,374780067,1068282276,89674686,40964607
(주)DB하이텍,000990,2005/12,1975/12/12,,1126572169,401370116,1152170114,32920124,11223900
(주)DB하이텍,000990,2006/12,1975/12/12,,1076069176,403140889,1073524606,20643968,2096915
(주)DB하이텍,000990,2007/12,1975/12/12,,3213715696,884960459,1372190425,-15283190,-16938761
(주)DB하이텍,000990,2008/12,1975/12/12,,3334536110,860588250,1347649484,-88544577,-281570478
(주)DB하이텍,000990,2009/12,1975/12/12,,2448081636,630803625,1152892773,-130420429,-176442539
(주)DB하이텍,000990,2010/12,1975/12/12,,1374101578,433208548,593441908,-281337489,-66059882
(주)ES큐브,050120,2001/06,2002/04/25,,7040499,4500822,24796757,840860,708182
(주)ES큐브,050120,2002/06,2002/04/25,,9447366,7026507,27234487,846206,519594
(주)ES큐브,050120,2003/06,2002/04/25,,9538159,7322005,23863639,143098,372952
(주)ES큐브,050120,2004/06,2002/04/25,,15644562,13208575,22432503,124194,37065
(주)ES큐브,050120,2005/12,2002/04/25,,26147529,24725156,14910931,-1941132,-5192359
(주)ES큐브,050120,2006/12,2002/04/25,,29486480,25284280,13725713,-1620722,-3338465
(주)ES큐브,050120,2007/12,2002/04/25,,36192270,35775641,11780581,-2177592,-394009
(주)ES큐브,050120,2008/12,2002/04/25,,40649115,37511648,12987121,-2702389,-3255318
(주)ES큐브,050120,2009/12,2002/04/25,,47208566,40704310,28257908,937690,3747309
(주)ES큐브,050120,2010/12,2002/04/25,,47490304,42009637,34640205,704325,-2249725
(주)HJ중공업,097230,2007/12,2007/08/31,,4161985000,936433000,1444721000,115766000,28408000
(주)HJ중공업,097230,2008/12,2007/08/31,,6235995000,2104845000,3848033000,510367000,62998000
(주)HJ중공업,097230,2009/12,2007/08/31,,6894968000,2081259000,3227619000,460906000,51904000
(주)HJ중공업,097230,2010/12,2007/08/31,,6283084000,2018645000,2755870000,201423000,-51745000
(주)LG데이콤,015940,2000/12,1993/01/30,2010/01/15,2229744214,675938992,998874791,2507234,-92300974
(주)LG데이콤,015940,2001/12,1993/01/30,2010/01/15,2242613001,667474083,997104495,87219314,-68792395
(주)LG데이콤,015940,2002/12,1993/01/30,2010/01/15,2877544808,867094268,1058088296,96143802,23828869
(주)LG데이콤,015940,2003/12,1993/01/30,2010/01/15,2465988320,686609395,1002074106,45326579,-245360754
(주)LG데이콤,015940,2004/12,1993/01/30,2010/01/15,2268423141,796069552,1068486871,139179464,38804671
(주)LG데이콤,015940,2005/12,1993/01/30,2010/01/15,2135585011,978345500,1133581610,142198100,64619102
(주)LG데이콤,015940,2006/12,1993/01/30,2010/01/15,2134837629,1285232770,1236322323,229775117,161777489
(주)LG데이콤,015940,2007/12,1993/01/30,2010/01/15,2022645668,1392654226,1353063989,229246726,133543015
(주)LG데이콤,015940,2008/12,1993/01/30,2010/01/15,2086150748,1443476086,1647262002,217316062,120288761
(주)LG파워콤,045820,2001/12,2008/11/27,2010/01/15,1391431907,795892663,386395106,58312281,25866066
(주)LG파워콤,045820,2002/12,2008/11/27,2010/01/15,1448341299,800619287,491897007,88200858,23392649
(주)LG파워콤,045820,2003/12,2008/11/27,2010/01/15,1408535911,828479972,526823885,131614443,30639632
(주)LG파워콤,045820,2004/12,2008/11/27,2010/01/15,1371562572,900597487,571229190,130059808,73728080
(주)LG파워콤,045820,2005/12,2008/11/27,2010/01/15,1567328833,945216800,638429765,69134946,46074560
(주)LG파워콤,045820,2006/12,2008/11/27,2010/01/15,1483117180,885791965,855912539,-55332889,-57944769
(주)LG파워콤,045820,2007/12,2008/11/27,2010/01/15,1663439088,911368731,1109617860,44770559,25521577
(주)LG파워콤,045820,2008/12,2008/11/27,2010/01/15,1937073801,992090781,1273768575,88658398,5991092
(주)MH에탄올,023150,2000/12,1996/12/24,,41556095,25858982,21305271,2023710,736431
(주)MH에탄올,023150,2001/12,1996/12/24,,46365419,27528427,23832170,3026206,733444
(주)MH에탄올,023150,2002/12,1996/12/24,,40621872,28041667,26670926,3813251,1055031
(주)MH에탄올,023150,2003/12,1996/12/24,,45918577,31704199,29606383,6251734,3460463
(주)MH에탄올,023150,2004/12,1996/12/24,,50811625,35255935,33230451,7479218,4956177
(주)MH에탄올,023150,2005/12,1996/12/24,,49187808,33977930,35973518,4995418,3734190
(주)MH에탄올,023150,2006/12,1996/12/24,,56528651,34403146,39046904,4413203,1864552
(주)MH에탄올,023150,2007/12,1996/12/24,,62818445,36597472,40144655,7255733,3468530
(주)MH에탄올,023150,2008/12,1996/12/24,,86452344,34442994,43176371,7023763,-6464280
(주)MH에탄올,023150,2009/12,1996/12/24,,111123888,45096297,43824891,7439766,1317046
