회사명,거래소코드,회계년도,상장일,상장폐지일,자산(*)(연결)(천원),자본(*)(연결)(천원),매출액(영업수익)(*)(연결)(천원),영업이익(손실)(연결)(천원),당기순이익(순손실)(연결)(천원)
(주)CMG제약,058820,2000/12,2001/08/31,,,,,,
(주)CMG제약,058820,2001/12,2001/08/31,,,,,,
(주)CMG제약,058820,2002/12,2001/08/31,,,,,,
(주)CMG제약,058820,2003/12,2001/08/31,,,,,,
(주)CMG제약,058820,2004/12,2001/08/31,,,,,,
(주)CMG제약,058820,2005/12,2001/08/31,,,,,,
(주)CMG제약,058820,2006/12,2001/08/31,,,,,,
(주)CMG제약,058820,2007/12,2001/08/31,,,,,,
(주)CMG제약,058820,2008/12,2001/08/31,,,,,,
(주)CMG제약,058820,2009/12,2001/08/31,,,,,,
(주)CMG제약,058820,2010/12,2001/08/31,,,,,,
(주)DB하이텍,000990,2000/12,1975/12/12,,819953494,295285765,824609854,51401026,14014949
(주)DB하이텍,000990,2001/12,1975/12/12,,850097402,306879935,851708318,60709807,7122252
(주)DB하이텍,000990,2002/12,1975/12/12,,885694742,309632315,789679473,55765071,17401180
(주)DB하이텍,000990,2003/12,1975/12/12,,,,,,
(주)DB하이텍,000990,2004/12,1975/12/12,,978945545,375960983,1068294080,87223232,40478937
(주)DB하이텍,000990,2005/12,1975/12/12,,1180705017,407163176,1152170114,32913013,11223900
(주)DB하이텍,000990,2006/12,1975/12/12,,1133807782,409112221,1144404300,23646591,2276757
(주)DB하이텍,000990,2007/12,1975/12/12,,3504147886,835716158,1462818466,-38254428,-53586804
(주)DB하이텍,000990,2008/12,1975/12/12,,3737118214,844331741,1880810771,33826453,-299266983
(주)DB하이텍,000990,2009/12,1975/12/12,,2726615460,607545037,1236478565,-136195840,-183352446
(주)DB하이텍,000990,2010/12,1975/12/12,,1686912725,405037865,700952114,-279258370,-70971977
(주)ES큐브,050120,2001/06,2002/04/25,,,,,,
(주)ES큐브,050120,2002/06,2002/04/25,,13759564,7305586,17510166,800696,519594
(주)ES큐브,050120,2003/06,2002/04/25,,13097290,7571960,17507221,353695,372952
(주)ES큐브,050120,2004/06,2002/04/25,,18104024,13208575,16160299,30047,37065
(주)ES큐브,050120,2005/12,2002/04/25,,28557615,24725156,14740166,-2085847,-5192359
(주)ES큐브,050120,2006/12,2002/04/25,,29694128,25284280,14281239,-1306818,-3338465
(주)ES큐브,050120,2007/12,2002/04/25,,,,,,
(주)ES큐브,050120,2008/12,2002/04/25,,,,,,
(주)ES큐브,050120,2009/12,2002/04/25,,,,,,
(주)ES큐브,050120,2010/12,2002/04/25,,,,,,
(주)HJ중공업,097230,2007/12,2007/08/31,,4881845000,936466000,1218728000,34411000,28408000
(주)HJ중공업,097230,2008/12,2007/08/31,,8041115000,2104845000,3403175000,365873000,62998000
(주)HJ중공업,097230,2009/12,2007/08/31,,8173812000,2080926000,3679824000,390400000,51644000
(주)HJ중공업,097230,2010/12,2007/08/31,,7576055000,2018645000,3190249000,218572000,-51484000
(주)LG데이콤,015940,2000/12,1993/01/30,2010/01/15,2269824543,668793953,1030367465,-10270762,-100104588
(주)LG데이콤,015940,2001/12,1993/01/30,2010/01/15,2306204781,678933409,1069916232,83363846,-64013615
(주)LG데이콤,015940,2002/12,1993/01/30,2010/01/15,4108250146,1333343761,1164543374,103221977,22464466
(주)LG데이콤,015940,2003/12,1993/01/30,2010/01/15,3585904473,1166626017,1568085005,161396680,-228070992
(주)LG데이콤,015940,2004/12,1993/01/30,2010/01/15,3390145611,1316507063,1654317322,259266591,80230259
(주)LG데이콤,015940,2005/12,1993/01/30,2010/01/15,3384089265,1523416162,1722152567,208077488,89921355
(주)LG데이콤,015940,2006/12,1993/01/30,2010/01/15,3208780647,1778372871,1883040253,153553642,129942864
(주)LG데이콤,015940,2007/12,1993/01/30,2010/01/15,3273440418,1899458010,2196588257,250720505,147176582
